Oil: Refinery capacities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily *,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total S. & Cent. America,3561.83,3799.015,3969.355,4171.875,4422.725,4807.525,5321.42285,6005.51,6636.85,6805.85,6890.85,6856.85,7103.85,7204.85,7173.85,7250.85,7175.85,6937.85,6793.85,6481.85,6104.0,5831.0,5804.0,5829.0,5948.0,6003.0,6045.0,6099.0,6046.0,5995.0,5877.0,5842.0,6157.81276932,6110.03766451,6203.58389067,6265.36177253,6240.36177253,6289.54449667,6347.38906081,6371.38906081,6401.98642426,6409.98956917,6498.51306181,6654.50298229,6673.63890391,6646.63890391,6468.05997866,5894.49946632,6029.11692953,0.0228378102183,0.0635119304061
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,335.0,352.0,502.0,611.0,692.0,721.0,837.0,847.0,865.0,936.0,978.0,1113.0,1082.0,1049.0,1115.0,1088.0,1050.0,1050.0,1050.0,717.0,719.0,708.0,706.0,704.0,706.0,706.0,706.0,692.0,692.0,692.0,692.0,692.0,698.0,732.0,736.0,770.0,785.0,803.0,805.0,782.0,778.184931507,773.967671233,745.450958904,745.450958904,823.108794521,813.047616438,823.008383562,786.453442667,810.475260969,0.0305444896221,0.00853770878166
France,1411.0,1590.0,1683.0,1949.0,2113.0,2339.0,2431.0,2902.0,3090.0,3402.0,3404.0,3438.0,3439.0,3395.0,3351.0,3326.0,3179.0,2831.0,2378.0,2194.0,2184.0,1919.0,1927.0,1815.0,1699.0,1699.0,1699.0,1711.0,1687.0,1697.0,1728.0,1749.0,1872.0,1918.0,1933.0,1984.0,1961.0,1987.0,1967.0,1982.29306849,1978.21638356,1959.27887671,1961.96989041,1970.60523288,1873.0,1702.20673973,1610.17005479,1639.28923288,1520.48436161,-0.0724734067917,0.0160170868039
Germany,1747.0,1911.0,2324.0,2436.0,2502.0,2643.0,2773.0,2918.0,3192.0,3268.0,3461.0,3452.0,3505.0,3603.0,3492.0,3422.0,3333.0,2976.0,2735.0,2553.0,2198.0,2158.0,2061.0,2077.0,2018.0,2024.0,2209.0,2219.0,2248.0,2272.0,2104.0,2098.0,2170.0,2206.0,2240.0,2262.0,2274.0,2286.0,2304.0,2320.09561644,2322.10383562,2390.38328767,2390.38328767,2366.28465753,2362.26821918,2091.15863014,2077.48265753,2096.52057534,2061.13575342,-0.0168778803199,0.021712416783
Greece,37.0,89.0,91.0,90.0,97.0,97.0,105.0,125.0,314.0,411.0,420.0,407.0,407.0,413.0,418.0,443.0,443.0,443.0,423.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,367.0,295.0,385.0,403.0,403.0,403.0,403.0,403.0,403.0,412.0,412.0,412.0,412.0,418.0,425.0,425.0,425.0,425.0,440.0,495.0,498.0,498.0,-,0.00524603202939
Italy,1560.0,2198.0,2564.0,2625.0,2738.0,2939.0,3539.0,3628.0,3792.0,3889.0,4343.0,4343.0,4270.0,3803.0,3471.0,3136.0,3096.0,2885.0,2777.0,2810.0,2690.0,2586.0,2591.0,2505.0,2492.0,2520.0,2535.0,2535.0,2455.0,2359.0,2359.0,2354.0,2345.0,2385.0,2485.0,2485.0,2485.0,2485.0,2485.0,2497.0,2515.0,2526.0,2497.0,2396.0,2396.0,2396.0,2311.0,2200.0,2062.0,-0.0627272725105,0.0217215213925
Netherlands,614.0,659.0,773.0,846.0,1319.0,1348.0,1587.0,1826.0,1826.0,1841.0,1985.0,2031.0,1869.0,1850.0,1850.0,1852.0,1705.0,1625.0,1504.0,1500.0,1478.0,1456.0,1363.0,1359.0,1367.0,1207.0,1225.0,1254.0,1197.0,1197.0,1257.0,1234.0,1261.0,1261.0,1277.0,1277.0,1278.0,1281.5,1281.5,1283.5,1273.9,1273.886,1236.28,1279.58,1279.58,1273.929,1276.229,1274.331,1274.331,-,0.0134240584448
Norway,60.0,60.0,98.0,107.0,117.0,194.0,161.0,173.0,168.0,168.0,259.0,259.0,264.0,260.0,260.0,250.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,210.0,260.0,291.0,288.0,288.0,288.0,288.0,298.0,308.0,308.0,310.0,323.0,318.0,307.0,310.0,310.0,310.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,-,0.00332880741917
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6857.0,6857.0,6907.0,7067.0,7067.0,7097.0,7157.0,7193.0,7193.0,7193.0,7193.0,7193.0,6643.0,6466.0,6526.0,6108.0,6070.0,5857.0,5562.0,5587.0,5536.0,5486.0,5446.0,5320.0,5328.0,5400.0,5484.0,5498.0,5419.0,5401.0,5511.0,5589.0,5785.0,6027.0,0.0418323241174,0.0634896233678
Spain,311.0,341.0,482.0,511.0,723.0,894.0,894.0,894.0,894.0,964.0,994.0,1212.0,1275.0,1295.0,1396.0,1396.0,1476.0,1476.0,1476.0,1462.0,1342.0,1312.0,1312.0,1312.0,1287.0,1267.0,1272.0,1272.0,1277.0,1282.0,1308.0,1324.0,1312.0,1312.0,1326.0,1330.0,1330.0,1330.0,1347.0,1372.0,1377.0,1361.57260274,1361.57260274,1361.57260274,1361.57260274,1416.3969863,1416.3969863,1536.89013699,1536.89013699,-,0.0161899086088
Sweden,98.0,153.0,153.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,420.0,420.0,420.0,420.0,420.0,420.0,448.0,414.0,414.0,414.0,414.0,398.0,398.0,414.0,416.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,421.726027397,421.726027397,421.726027397,421.726027397,421.726027397,421.726027397,421.726027397,434.0,434.0,434.0,-,0.00457184296101
Turkey,96.0,96.0,120.0,120.0,204.0,204.0,204.0,280.0,281.0,281.0,281.0,280.0,311.0,311.0,311.0,366.0,366.0,386.0,466.0,466.0,466.0,476.0,599.0,703.0,703.0,703.0,708.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,693.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,-,0.00645746476948
United Kingdom,1474.0,1683.0,1731.0,1957.0,2195.0,2305.0,2450.0,2487.0,2852.0,2984.0,2940.0,2916.0,2801.0,2681.0,2677.0,2614.0,2518.0,2281.0,2022.0,1919.0,1864.0,1805.0,1823.0,1814.0,1827.0,1850.0,1827.0,1837.0,1844.0,1866.0,1844.0,1873.0,1823.0,1848.0,1777.0,1778.0,1769.0,1785.0,1813.0,1847.56164384,1819.44657534,1835.51232877,1819.44657534,1827.47945205,1757.19178082,1757.19178082,1787.31506849,1526.24657534,1526.24657534,-,0.016077786684
Other Europe & Eurasia,5451.12440068,5879.76164384,6301.21232877,6837.8630137,7334.86369863,8030.53630137,8668.81232877,9087.94520548,9733.5890411,10666.8767123,11220.5205479,12055.9863014,12981.2739726,13162.0,13447.0,6741.0,6923.0,6983.0,7059.0,7173.0,7295.0,7430.0,7460.0,7519.0,7449.0,7459.0,7335.0,6912.0,6850.0,6748.0,6331.0,6076.0,6038.0,6165.0,6071.0,5905.0,5827.0,5683.0,5600.0,5576.37863014,5539.42526027,5427.16736986,5464.13457534,5450.13046575,5491.72471233,5606.14884932,5513.18126027,5219.86332658,5207.73627309,-0.0023232512176,0.0548593364656
Total Europe & Eurasia,13194.1244007,15011.7616438,16822.2123288,18342.8630137,20287.8636986,21967.5363014,23902.8123288,25420.9452055,27260.5890411,29063.8767123,30538.5205479,31926.9863014,32624.2739726,32242.0,32208.0,31911.0,31606.0,30531.0,29611.0,28918.0,28390.0,28064.0,28076.0,28012.0,27818.0,27738.0,27822.0,26865.0,26434.0,26447.0,25567.0,25316.0,25222.0,25237.0,25293.0,25183.0,25049.0,24943.5,24779.5,24825.5549863,24772.0030137,24807.4941644,24749.9639178,24591.8293973,24521.172137,24357.8056301,24261.783411,23925.5942898,23887.2993614,-0.00160058424808,0.251633614302
