Natural Gas: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
Venezuela,6.939,6.725,6.684,8.234,8.702,8.464,10.492,11.453,11.557,12.944,13.325,13.397,14.295,14.076,15.57,15.593,17.167,16.728,17.125,17.584,19.769,19.712,19.456,20.996,22.208,24.751,26.758,27.747,29.102,24.669,25.132,26.634,25.574,22.7016,25.5645,24.6771,28.3347,32.5161,29.4858,27.9117,24.6906,24.8418,26.5293,25.60248,-0.0322916992009,0.00841837941114
Other S. & Cent. America,0.637,0.671,0.645,0.498,0.568,0.652,1.014,1.095,1.249,0.804,0.72,0.727,0.768,0.848,0.894,0.924,0.859,0.846,1.131,1.598,2.191,1.9218,2.1201,2.1189,2.2965,2.2107,2.2378,2.3313,2.2128,2.7354,3.0244,3.1758,2.96734987917,2.79889725475,2.83391891516,3.06409919521,3.37826336826,3.48065890623,3.32608706892,3.81945613156,3.24630088993,2.80944610612,2.64862016092,2.28732342094,-0.134043425322,0.000752097312192
Total S. & Cent. America,16.28492,16.6899070821,17.5964908972,19.9530687025,21.080873439,21.2465982739,23.7012689261,25.6408019798,27.1061355189,28.208617,30.6121595,31.46585,34.566039,38.1086235,40.472276,41.3118235,45.0143805,44.8491095,48.791726,50.526192,52.323633973,54.310345817,54.4618847077,58.6370179337,62.0073886549,68.0409452264,75.2103147311,76.4988708252,80.5572650329,82.8298447558,91.1127019315,95.1553772392,97.1136137626,107.437187191,121.188017306,126.484518218,138.886142629,146.063049768,146.882233562,142.673401446,146.885715171,150.661727043,156.83256247,158.723729076,0.0148312700912,0.0521901227114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.4597285348,11.076923104,10.1809955,9.692307716,9.040724004,8.063348436,7.004524904,6.434389156,5.538461552,5.212669696,5.375565624,5.13104943616,4.88657515737,4.56060945314,4.88657515737,4.60717598266,4.51695333222,4.18904735585,4.1764355874,4.06875048859,4.66867874444,5.50865159718,8.82252490844,13.3057466389,13.2945068198,13.5795746938,13.3260271819,14.0433394008,14.5435113478,0.0384536162019,0.00478206785029
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209,1.01,1.713,2.183,2.156,2.765,2.823,3.547185642,3.6948773223,4.0534878762,4.39197066,4.7555439579,5.7785803416,7.07388129,6.8086616922,6.9798581973,7.3376860311,7.5438993267,7.5441631878,7.1682579126,8.4873938031,9.402398001,9.372759084,8.3009499183,9.081538605,7.58476742418,7.3935072,5.93186432078,5.177799495,4.36008469079,-0.155620038509,0.00143364420915
Germany,9.944,12.418,14.831,16.667,17.494,15.92,16.766,17.006,18.186,18.243,16.67,17.229,15.458,16.53,17.383,15.682,15.021,16.658,15.025,14.16,14.333,13.23,13.426,13.365,14.012,14.456,15.656,15.393,15.037,16.061,15.19,15.334,15.294,15.921,14.732172,14.22414,14.051772,12.871656,11.724048,10.959732,9.564912,8.998668,8.135316,7.398216,-0.0881134718656,0.00243261548309
Italy,10.8181857266,11.0233877902,11.6829965606,12.6184436801,12.595399828,12.0050085985,12.9001504729,11.3165950129,11.3030954428,11.0282459157,10.2627901978,11.5011822872,11.8091788478,10.5889509888,11.2071582115,11.5384565778,12.9300300946,13.2517841788,13.4686801376,13.7672184007,14.0297506449,14.1109845228,14.7335124678,15.6816423044,16.5456792777,16.3466895959,16.3636070507,15.895,15.682,14.418,13.722,12.575,12.064,11.455,10.693,9.959,9.058,8.00745889021,7.6351935,6.61073570791,6.9348201198,6.97055901478,7.09872795774,6.38129490615,-0.0986021831632,0.00209824054757
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.4470588344,4.723981912,5.131221732,5.782805444,5.457013588,5.782805444,6.434389156,6.597285084,5.457013588,3.66515838,4.805429876,3.53046706745,5.14588562344,4.11500688789,5.5481066199,6.94055730203,7.7234392044,7.65106128567,10.0118525132,11.0701710678,11.4210407519,11.7292398477,13.5832398522,15.237448001,14.7684706243,14.3308507138,15.7235294502,16.540778321,16.631185561,0.00822041928768,0.00546851828845
Netherlands,24.0119088564,33.183061049,44.2350100315,53.7841358555,63.7649075666,69.0678776154,73.803887217,74.0473022356,67.7835232158,71.0892805962,68.7375286615,63.8268952422,54.565029378,58.1149577243,58.8338635712,61.602898395,56.3089997134,56.4269274864,49.804829464,54.4425659215,54.9293959587,62.0617583835,62.4707258527,63.7240864144,60.1945686443,61.0125035827,69.0557824592,61.1092648323,58.2873137002,54.2029306392,52.2964316423,56.184268415,54.2664302092,52.246539123,61.6089459731,56.2885891373,55.4109343651,54.4917024936,59.9655106525,56.4382583357,63.4572465845,57.7768223942,57.4663227286,61.8133180472,0.0785911902785,0.020324904618
