Electricity Generation *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Terawatt-hours,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,41.632,41.82,43.473,45.021,44.331,42.141,38.917,35.61,37.997,38.133,41.79,42.716,42.72,41.666,38.177,40.927,43.749,42.437,42.254,41.512,44.187,45.441,42.875,44.423,42.789,46.011,50.33,47.406,44.04,-0.0684584751725,0.00190426700283
Czech Republic,58.121,60.606,62.196,64.334,65.131,62.56,60.528,59.293,58.882,58.705,60.847,64.257,64.598,64.93,64.692,73.466,74.647,76.348,83.205,84.333,82.579,84.361,88.198,83.518,82.25,85.91,87.5606,87.5737,87.0649,-0.00308615528047,0.00376464147121
Denmark,29.064,30.72,29.449,27.965,22.312,25.758,36.33,30.849,33.738,40.554,36.604,53.551,43.727,40.985,38.869,35.838,37.605,39.047,45.993,40.26,36.027,45.591,39.227,36.411,36.204,38.56775092,34.9299132942,30.5046500825,34.581127808,0.136740475893,0.00149527017493
Finland,49.394,48.948,53.016,53.491,53.359,53.983,57.495,57.277,60.575,65.031,63.188,69.372,68.975,70.17,69.433,69.952,74.34,74.899,84.301,85.774,70.332,82.287,81.248,77.436,72.062,80.663,73.474,70.394,71.23,0.0146482754499,0.003079948714
France,343.976,362.784,378.309,391.926,406.891,420.155,454.735,463.097,472.575,476.907,493.9,513.139,504.148,510.892,523.557,540.8,549.8,559.2,562.237,572.551,575.153,574.698,570.019,563.6114946,542.3900755,573.191772,564.320742,560.6679942,568.2524986,0.0163044091314,0.0245709456503
Germany,522.534,523.557,532.442,549.492,559.873,549.9,540.2,538.2,527.1,528.5,536.8,552.7,552.3,557.2,556.3,576.6,586.4,586.7,606.7,615.3,620.6,636.9,637.2,637.1,592.4,628.6,608.9,629.8,633.6,0.00878991838545,0.0273965392262
Greece,27.74,28.237,30.272,33.394,34.456,35.003,35.813,37.41,38.396,40.623,41.551,42.557,43.505,46.329,49.62,53.843,53.704,54.608,58.478,59.346,60.02,60.789,63.496,63.749,61.365,57.392,59.436,60.959,58.276804,-0.0413808226585,0.00251985900104
Hungary,26.794,28.044,29.749,29.233,29.596,28.411,29.98,31.614,32.784,33.515,34.017,35.102,35.396,37.188,37.154,35.191,36.418,36.158,34.145,33.708,35.755,35.859,39.959,40.025,35.908,37.375,35.984,34.408,30.312,-0.116628497839,0.00131067528855
Republic of Ireland,12.088,12.652,13.064,13.228,13.833,14.515,15.147,16.011,16.396,17.126,17.879,19.181,19.958,21.077,22.038,23.977,25.315,24.632,25.301,25.569,25.97,27.037,28.226,28.876,27.733,28.267,27.3709361,27.0151139307,25.3131617531,-0.0604328773916,0.00109452812467
Italy,185.74,192.33,201.372,203.561,210.75,216.891,222.041,226.243,222.788,231.803,241.48,244.491,251.462,259.761,265.657,276.629,278.995,284.401,293.865,303.321,303.672,314.0903,313.9,319.13,292.642,302.0622,302.5699,299.2759,288.44211242,-0.0335594527423,0.0124720884487
Kazakhstan,81.263,85.094,88.49,88.417,89.657,87.379,85.99,83.166,77.889,66.777,66.739,58.747,52.0,49.8,47.3,51.635,55.6,58.7,63.866,66.942,67.9197,71.6684615,76.621528,80.3479,78.7291,82.6465,86.5521032505,90.6139,91.8875,0.016833472997,0.00397316832095
Lithuania,20.962,22.416,22.755,26.0,29.158,28.405,29.363,18.707,14.105,9.998,13.84,16.789,14.861,17.63,13.535,11.425,14.737,17.721,19.488,19.274,14.7843,12.4819,14.0076,14.01,15.3576,5.7486,4.8216,5.0424,4.78,-0.0494415573776,0.0002066847519
Netherlands,62.947,67.158,68.419,69.611,73.05,71.866,74.252,77.202,76.992,79.647,81.048,85.048,86.573,90.84,86.68,89.467,93.72,96.29,96.705,102.44,100.424,98.835,105.164,108.202,113.502,118.14,112.715,101.568,95.118,-0.0609385110438,0.00411285366863
Norway,103.292,97.284,104.283,110.02,119.197,121.848,111.009,117.506,120.095,113.488,123.193,104.755,111.636,116.983,122.66,142.984,121.92,130.6,107.274,110.602171,138.072621,121.663307,137.708563,142.667018,132.791734,124.447398,128.144431,147.845568,134.239887,-0.0895387008786,0.00580446375534
Poland,137.714,140.294,145.833,144.34,145.464,136.364,134.712,132.728,133.867,135.35,139.006,143.173,142.769,142.771,142.128,145.183,145.655,144.126,151.631,154.159,156.936,161.742,159.348,155.3054,151.72,157.658,163.548,162.139,164.4,0.0167227555066,0.00710857147351
Portugal,18.9,20.355,20.135,22.489,25.808,28.5,29.871,30.087,31.205,31.38,33.263,34.521,34.208,38.984,43.287,43.764,46.509,46.107,46.852,45.105,46.585,49.041,47.253,45.969,50.207,54.093,52.7184646402,47.2694004594,52.7003616551,0.117948308587,0.00227873655967
Romania,71.818,75.478,74.079,75.322,75.851,64.309,56.803,54.195,55.476,55.136,59.266,61.35,57.148,53.496,50.71,51.934,53.866,54.738,55.14,56.499,59.413,62.696,61.673,64.956,58.016,60.979,62.216,60.391,59.3708,-0.014199802652,0.00256716297008
Russian Federation,962.0,1001.4,1047.3,1065.5,1076.5,1082.2,1068.0,1008.0,956.0,876.4,862.1,847.0,834.0,826.1,846.2,877.8,891.3,891.27,912.08,931.9,954.1,992.1,1018.7,1040.0,993.1,1038.031,1054.8563,1069.2876,1060.7332992,-0.00528219155967,0.0458655618131
Slovakia,22.506,24.168,23.629,23.039,24.07,24.019,22.732,22.255,24.429,24.74,25.905,25.261,24.251,25.0,27.743,30.685,32.046,32.427,31.147,30.543,31.294,31.227,27.907,29.309,26.074,27.72,28.135,28.393,28.59,0.00969706475735,0.00123621698003
Spain,138.1761484,140.1137802,144.7148421,151.4206104,160.3938203,164.6238463,170.2211773,173.2822177,170.7710713,171.5745944,178.9243711,188.3348839,201.0294558,205.7839074,217.1666048,232.027956,242.3688064,246.616,264.519,281.011,294.244,302.867,312.211,317.862,296.301888,302.99545,291.758696379,297.556928914,285.257625088,-0.0387078076601,0.0123343933374
Sweden,137.14,138.651,147.165,146.23,143.091,146.508,147.384,146.444,145.975,142.895,147.617,139.686,149.407,154.234,162.07775,152.513475,169.457625,153.97655,142.475125,159.9858,166.606725,150.83755,155.5611,156.90915,143.6845,155.9567,157.914275,174.19945,160.363125,-0.0769059509039,0.00693401927128
Switzerland,56.492,57.564,59.89,60.69,54.767,55.804,57.81,59.126,61.267,66.453,63.08,56.888,62.715,62.877,69.546,67.351,71.912,66.654,66.988,65.549,62.26185,66.801575,70.8597,71.989525,71.48105,71.2209,67.597075,73.120425,73.4354,0.00705914758146,0.00317530892789
Turkey,34.219,39.695,44.353,48.049,52.043,57.543,60.246,67.342,73.808,78.322,86.247,94.862,102.0,110.9,116.594,124.921,122.7247,129.3995,140.5805,150.6983,161.9562,176.2998,191.5581,198.42,194.812922,211.207699,229.395052,239.49675,239.308072124,0.00194975791965,0.0103475581855
Turkmenistan,10.987,12.396,13.267,12.891,14.508,14.61,14.9,13.1,12.637,10.496,9.8,10.1,9.4,9.1,9.0,9.845,11.154,11.2,10.8,11.425,12.82,13.65,14.88,15.04,15.98,16.66,17.22,17.94324,18.69685608,0.0448547936976,0.00080844247714
Ukraine,272.0,272.7,281.5,297.2,295.3,298.5,279.0,252.6,229.907,202.922,194.018,181.709,176.0,171.9,171.0,169.0,171.4,173.734,179.504,182.2,185.0,192.1246,195.1305,191.688,172.8996,187.8993,194.947,198.878,193.808,-0.0228231344372,0.00838015880436
United Kingdom,298.089,301.071,302.112,308.825,314.585,319.739,322.875,321.043,323.102,326.558,337.424,350.867,350.667,362.701,368.151,377.067938033,384.778671991,387.246314652,398.209123101,393.929758316,398.361132706,397.282323571,396.82994977,388.871730682,376.751986941,381.75919876,367.453862489,363.835596112,356.649016004,-0.0170666631311,0.0154213206842
Uzbekistan,47.939,52.171,54.755,50.59,55.874,56.325,54.165,51.05,48.716,47.0,47.4,45.419,46.0,45.9,45.3,46.8,46.576,49.306,48.7,49.627,47.706,49.299,48.95,50.1,50.0,51.7275419546,52.4,52.534,54.207,0.0346730165184,0.0023438828066
Other Europe & Eurasia,180.395045,185.764386,189.625332,199.354588,195.575315,191.136237,173.600199,158.071808,147.187803,145.729892,138.348048,149.053778,150.048672,154.66783,151.499603,151.145686863,152.25692,153.269986,162.097909,171.524373,172.610818,172.326425,176.148736,180.98627475,183.807838601,201.118542012,192.970091669,188.595131509,202.20998846,0.0751284360886,0.00874345656484
Total Europe & Eurasia,4109.6561934,4224.6241662,4379.8941741,4487.7281984,4564.9341353,4583.0590833,4569.6303763,4462.1820257,4380.6378743,4290.2194864,4348.2314191,4402.3796619,4410.0861278,4471.8857374,4545.5579578,4693.3820559,4774.58972339,4811.70735065,4927.2976571,5047.97140232,5126.88034671,5235.36124207,5321.05177677,5355.32149303,5120.52229504,5347.82305265,5318.78984282,5375.74570336,5324.08161356,-0.00689719477668,0.23021055758
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,39.481,42.013,45.062,46.97,51.431,57.654,62.815,67.178,74.685,81.005,84.353,88.76,96.983,102.386,110.088,119.348,128.166,138.224,145.659,156.408,169.666,184.279,196.041,206.3,215.1,226.1,235.5,247.7,263.378877605,0.0662109926343,0.011388367042
Israel,15.431,15.915,17.682,19.352,20.453,20.898,21.514,24.686,26.0,28.316,30.425,32.557,35.098,37.964,39.216,42.968,43.837,45.4279,47.0476,48.4711,49.8334,51.8112,55.1448,56.06125714,54.78891429,56.102,57.145,61.074,63.028368,0.0348273962736,0.00272531434894
Kuwait,15.689,17.118,18.24,19.608,21.085,18.477,10.78,16.885,20.178,22.802,23.724,25.475,26.724,29.984,31.576,32.853,34.304,36.363,38.577,41.256,43.734,47.607,48.753,51.749,53.218,57.083,57.457,61.119,62.9129523962,0.0321719385684,0.00272032385692
Qatar,3.964,4.318,4.386,4.614,4.646,4.842,4.669,5.183,5.56,5.85,6.013,6.615,6.91,8.166,8.939,9.134,9.951,10.94,12.012,13.233,14.396,15.325,19.462,21.616,24.158,28.144,30.731,34.788,38.4398,0.108000300825,0.00166211719625
Saudi Arabia,45.312,50.381,55.178,58.37,62.866,70.116,74.574,79.63,87.913,96.901,99.857,103.381,107.289,112.691,120.0,126.191,133.673,141.737,153.0,159.875,176.124,181.434,190.535,204.2,217.082,240.067,250.077,273.5595,292.2297,0.0711758509278,0.0126358624548
United Arab Emirates,12.0,12.814,13.658,14.84,15.612,17.081,17.352,18.689,21.73,23.736,24.982,26.572,28.464,33.392,37.127,39.944,43.172,46.586,49.54,52.417,60.698,66.768,78.761,80.463,85.698,93.949,99.137,106.222,111.284,0.0505251996219,0.00481186294928
Other Middle East,42.048,45.539,48.812,54.002,55.569,50.395,49.628,57.22,60.611,66.35,70.245,74.639,79.063,84.077,87.153,91.152,94.880475,102.003828,96.360687,106.033994,110.312696,118.901883,126.081703,137.095834,152.468629327,162.935743,170.517250314,180.196034616,181.562061226,0.0103412754834,0.00785065069795
Total Middle East,173.925,188.098,203.018,217.756,231.662,239.463,241.332,269.471,296.677,324.96,339.599,357.999,380.531,408.66,434.099,461.59,487.983475,521.281728,542.196287,577.694094,624.764096,666.126083,714.778503,757.48509114,802.513543617,864.380743,900.564250314,964.658534616,1012.83575923,0.0528188124299,0.0437944978476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,12.272,12.981,13.941,14.98,15.138,16.104,17.345,18.286,19.415,19.883,19.715,20.654,21.15,23.615,24.757,25.008,26.256,27.403,29.192,30.925,33.611,35.0068,36.951,39.987,42.77,45.616,52.015,57.464,58.955,0.0287574920803,0.00254918402061
Egypt,31.658,33.684,37.135,38.972,40.894,42.863,44.88,46.739,48.321,50.446,53.398,56.561,61.0,65.159,70.747,72.98,80.22,85.681,91.517,97.304,103.982,110.706,118.966,127.853,133.336,143.465,148.629,147.238,148.493,0.0112866936251,0.00642076088116
South Africa,141.384,145.394,150.599,156.738,162.322,165.385,168.316,167.816,174.581,182.452,188.138,200.092,210.362,205.374,203.102,210.67,210.1,217.712,234.229,244.607,244.92,253.798,263.479,258.291,249.557,259.601,262.538,257.919,256.074,-0.00443328078836,0.0110725080594
Other Africa,78.435525,84.25844,90.172995,94.26359,97.426505,93.56133,95.7200016881,96.4973361552,98.1132647932,101.486009406,105.478968853,107.596530384,111.896401815,116.869728598,124.551591991,130.320040886,137.741422143,151.364238613,152.770286078,166.12007755,179.411223932,188.208013233,189.880689415,196.409317437,198.303264348,216.196414615,214.28140922,233.744891088,239.478411604,0.0273358952254,0.0103549240157
Total Africa,263.749525,276.31744,291.847995,304.95359,315.780505,317.91333,326.261001688,329.338336155,340.430264793,354.267009406,366.729968853,384.903530384,404.408401815,411.017728598,423.157591991,438.978040886,454.317422143,482.160238613,507.708286078,538.95607755,561.924223932,587.718813233,609.276689415,622.540317437,623.966264348,664.878414615,677.46340922,696.365891088,703.000411604,0.0122931767255,0.0303973760456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,123.673,129.527,135.815,143.374,151.433,155.964,158.25,161.698,165.632,170.439,175.504,180.4,189.551,199.66,205.565,212.301,221.602,227.239,228.2561,237.3959,248.9682,249.054,250.8985,257.710994,244.675117,251.501543,252.899662,252.111007,244.807096,-0.0263106580824,0.0105853332207
Bangladesh,4.998,5.518,6.389,7.153,7.748,8.326,9.242,9.71,10.156,11.111,12.118,12.809,13.066,14.044,15.179,15.76,17.086,18.649,19.712,24.684,26.448,29.536,31.011,34.319,37.225,41.71,44.061,47.3827253076,50.5442921561,0.0696465745568,0.00218550930731
China,410.69,449.53,497.267,545.21,584.81,621.2,677.55,753.94,811.59,927.8,1006.554,1081.3,1104.5,1163.506,1197.471,1355.6,1480.802,1654.0,1910.575,2203.31,2500.26,2865.726,3281.553,3466.88,3714.65,4207.16,4713.019,4987.553,5361.619475,0.077945202589,0.231833666563
China Hong Kong SAR,19.249,21.419,23.754,25.508,27.363,28.96,31.889,35.076,35.947,26.741,27.916,28.44,28.943,31.134,29.496,31.329,32.429,34.312,35.506,37.129,38.44833333,38.6125,38.94777778,37.990278,38.72778,38.29166667,39.0263888889,38.7516667,39.0633333,0.0108044240624,0.00168907851912
India,179.8438,196.806,214.5568,235.0098,261.586,284.246,309.0833,328.4425,350.4295,378.2515,409.9215,432.0583,458.5513,489.1418,526.5675,554.7445,574.5505,592.1873,624.092,657.7235,689.5625,738.7053,797.94,824.4501,869.7999,922.24883,1006.17347353,1053.86609618,1102.87887635,0.0493747405708,0.0476879179478
Indonesia,16.369,18.415,20.72,24.807,28.487,33.336,37.674,41.009,44.415,51.706,58.885,66.718,76.489,77.263,84.269,92.64,101.647,108.206,112.926,120.16,127.362,133.108,142.411,149.437,156.797,169.786,183.421,200.318,216.189,0.0821858197451,0.00934790167958
Japan,671.953,676.363,719.085,753.728,799.769,841.057,870.798,876.404,887.215,943.669,968.61,989.285,1014.639,1019.835,1036.789,1057.937,1039.719,1058.342,1082.614,1107.846,1153.062,1164.348,1180.109,1183.72,1114.003,1156.023,1104.183,1106.87994051,1088.14686746,-0.0142308557406,0.0470509119332
Malaysia,14.994,16.288,17.616,19.361,21.889,25.262,28.335,31.887,35.579,40.058,46.632,52.819,58.674,60.471,62.553,66.678,72.28,75.328,84.022,90.661,96.225,100.831,104.95,106.9269,107.1158,116.80769983,119.112546494,124.918301302,131.643765883,0.0567261353135,0.00569220865145
New Zealand,28.299,29.094,29.641,30.913,31.183,32.147,33.352,32.727,34.092,34.9229,35.9981,36.4019,37.1534,37.3342,37.7999,39.2689,39.6897,40.6308,40.8206,42.5075,42.965,43.5977,43.7554,43.6044208736,43.265710859,44.7094341903,44.3317152242,44.1456822956,43.1527805989,-0.0198133736849,0.00186590407975
Pakistan,28.825,32.348,36.347,40.671,42.806,45.985,50.22,53.575,57.012,57.923,63.75,67.565,62.481,66.396,65.302,64.65,75.121,81.637,84.488,88.658,87.107,96.226,98.789,92.543,95.042,94.0985537317,94.9005328721,93.9820193283,93.1879437792,-0.00573265086859,0.00402939878404
Philippines,22.766,21.797,22.641,24.538,25.573,26.327,25.649,25.87,26.579,30.459,33.554,36.708,39.797,41.578,41.432,45.29,47.049,48.467,52.941,55.957,56.56774,56.7841297012,59.6117879051,60.821,61.934,67.743,69.1756497971,72.922,75.984724,0.0448547936976,0.00328554050066
Singapore,9.917,10.577,11.814,13.018,14.039,15.618,16.597,17.543,18.962,20.676,22.057,23.458,26.188,28.283,29.52,31.665,33.089,34.665,35.331,36.81,38.213,39.4421,41.1377,41.7168,41.8007,45.3678,45.9984,46.936,47.9484,0.0243686176836,0.00207326421514
South Korea,62.667201,69.680597,80.251348,93.108847,103.623614,118.460795,131.616144,146.439284,161.900951,183.365532,203.546465,225.845719,246.587471,237.197406,262.152146,290.442948,309.885952,332.020947,347.756209,368.033552,389.479512,402.988942,425.407289,442.610958,452.447461,495.028363,517.569729,530.628098,534.679862669,0.0103964358568,0.0231192819774
Taiwan,55.554,62.33,69.176,76.258,84.055,90.201,99.176,105.528,115.205,124.635,133.117,141.962,150.186,162.879,169.473,184.856,188.518,198.812,209.051,218.371,227.356928,235.186,242.674,237.723,229.69393,247.045427,252.172869,250.385235,252.00925972,0.00924360007048,0.0108967507258
Thailand,23.02995,24.66981,28.57361,32.41324,37.35338,44.11251,50.12039,57.02815,63.33733,71.10243,79.73721,86.99163,92.66128,89.53301,90.21529,95.52127,100.98719,108.44169,115.93462,124.13266,130.42631,136.76671,142.53754,145.43736,145.9067,156.41452,151.56873,166.44571,164.82669,-0.00701393885538,0.00712702143937
Vietnam,5.069,5.683,6.213,6.955,7.948,8.681,9.21,9.705,10.662,12.288,14.648,16.944,19.132,21.688,23.559,26.561,30.608,35.796,40.925,47.137,53.41,60.532,68.699,75.955,87.019,100.071,108.725,120.21,130.06722,0.0849643871188,0.00562404002994
Other Asia Pacific,63.951523237,67.3106243458,68.9755004846,72.6780341446,73.5267599234,49.0413662523,48.1931697559,46.4993935382,45.0009102623,47.1127559179,48.5265975013,47.4018759803,46.6974185215,46.2634568211,50.1494728903,53.8485235512,55.3684964066,57.3177598467,60.8190319519,64.24484764,65.7861125,69.08641338,71.8233184,74.9289146721,72.5786305002,80.4869596343,88.032659812,87.2386854782,92.983129141,0.0687675625086,0.00402054283768
Total Asia Pacific,1741.84847424,1837.35603135,1988.83525848,2144.70392114,2303.19275392,2428.92467125,2586.95500376,2733.08132754,2873.71469126,3132.26011792,3341.0748725,3527.10742498,3665.29686952,3786.20687282,3927.49230889,4219.09314155,4420.43183841,4706.05149685,5085.76956095,5524.76095964,5971.64763583,6460.53079508,7022.25531309,7276.77472555,7512.68172936,8234.49379706,8834.37135662,9224.6741671,9669.73271605,0.0511184409261,0.41811427474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World ,9955.23496533,10272.2988554,10783.6952767,11279.0072752,11664.5183284,11862.9004477,12108.7484396,12224.5204733,12486.5026493,12812.9193444,13259.3786529,13687.1329092,13979.7694377,14356.8560039,14735.3573498,15407.4856781,15640.2127219,16192.254906,16786.9182644,17571.2800511,18333.1004418,19028.0948938,19922.3301474,20277.5368075,20129.0289456,21422.971464,22091.3434839,22635.1611332,23127.0090607,0.0245286338031,1.0
Of which: OECD,6562.6903944,6681.5327632,6983.2045221,7285.2030454,7525.9397493,7651.3728783,7828.3385203,7904.5743097,8086.9278253,8303.5429184,8563.2659841,8811.3892809,8975.4586488,9194.9715434,9418.9273288,9747.3609039,9736.74255039,9957.88029765,10090.0766411,10345.9450892,10604.7773095,10692.2160383,10919.1215793,10912.9183703,10476.6757002,10903.0614223,10832.3029909,10860.6692252,10817.2139957,-0.00127239187714,0.467730790377
                 Non-OECD,3392.54457093,3590.76609217,3800.49075462,3993.80422978,4138.57857912,4211.5275694,4280.40991931,4319.94616364,4399.57482401,4509.37642604,4696.11266881,4875.74362834,5004.31078885,5161.88446047,5316.43002096,5660.1247742,5903.47017155,6234.37460838,6696.84162333,7225.33496187,7728.32313231,8335.87885544,9003.20856803,9364.61843714,9652.35324545,10519.9100417,11259.040493,11774.491908,12309.7950651,0.0483272336423,0.532269239426
                 European Union #,2333.0201934,2389.1631662,2463.3921741,2520.0321984,2577.4541353,2583.3450833,2649.4243763,2636.5700257,2639.9568743,2673.9994864,2755.1374191,2854.8886619,2864.8787778,2926.3389374,2964.9592828,3050.1310559,3132.25119839,3151.48515065,3238.1906321,3308.66870632,3324.02437571,3376.48418457,3392.16620977,3382.80253528,3232.93605508,3371.79418592,3299.24300185,3298.74835219,3259.91071069,-0.00906597822905,0.140956863761
                 Former Soviet Union,1543.889,1598.663,1664.479,1704.834,1721.333,1725.563,1681.381,1560.04,1460.489,1326.756,1289.309,1256.405,1230.217,1217.645,1233.1639,1267.378,1289.5478,1300.6988,1340.7187,1375.8471,1398.0591,1448.4508615,1486.794428,1507.2998,1431.7417,1502.28934195,1532.94000325,1556.90844,1548.47455528,-0.00269218697213,0.0669552460313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 * Based on gross output.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
