Oil: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,3.6203093,4.5400276,4.5738172,4.5946922,4.5296739,4.7647767,4.699,4.003,4.662,5.497,5.755,5.837,5.841,5.796,6.028,6.515,6.645,6.532,5.651,5.839,5.638,6.069,6.698,6.547,5.804,5.807,5.37,5.612,5.883,6.394,7.213,7.434,7.347,7.389,7.541,7.373,6.974,6.922,6.535,7.30380337069,7.12084151717,6.85771587428,7.1143281065,7.96266590697,8.08193292459,8.52347338838,9.22232271568,9.54118218089,10.0193586349,0.0529941394925,0.00239406805485
Trinidad & Tobago,1.99382690239,2.00758430737,2.10174001183,2.14461550788,2.25656443774,2.31816864639,2.261,3.732,3.751,3.7,2.822,3.181,3.101,2.773,2.123,1.67,1.654,1.836,1.584,1.35,1.439,1.559,1.022,0.921,0.776,1.265,1.181,1.709,1.487,1.119,1.284,1.494,0.569,0.98,1.774,1.3806291453,1.29501364966,1.24739469363,1.14516557568,1.21946055619,1.22783905577,1.39143574008,1.65424413731,1.82149895888,1.72076381496,1.90245725289,1.72218070257,1.74045110991,1.84508460045,0.0630230382085,0.00044087233255
Venezuela,9.34,9.448,9.504,10.034,10.016,10.396,10.62,11.981,12.849,12.99,13.236,12.828,17.513,17.523,17.886,20.056,21.14,20.971,20.409,19.004,19.676,20.667,19.441,20.231,19.644,19.829,18.762,22.536,20.23,23.6530963451,22.6142389738,18.1759182801,19.6654873387,22.0163815205,23.8068318485,23.8912181977,27.0079991361,28.1638187167,24.062633839,26.0282721425,28.2733383606,29.5025768005,29.6678080855,33.7824491412,34.1936562975,32.1445698277,31.8973376173,32.9509333161,36.2200685002,0.10222376138,0.00865457672626
Other S. & Cent. America,21.9480620038,23.2958231684,24.5299474779,24.7968882211,26.4313779756,27.7097870347,28.678058918,30.484996732,32.5208335734,32.1729264131,32.5693873566,33.18214881,34.2323395153,36.0227623608,37.1411437112,40.8511018351,40.4956022099,38.2802977755,36.2064221996,37.1624384887,33.8477514508,30.4506592277,32.1842122218,32.4000803561,35.3208688318,41.6976031425,41.3916574747,41.1264437117,42.3404844546,45.194406072,47.0897352032,48.47757889,51.3001863956,53.7266969366,54.243924514,55.4635338125,58.0141408489,58.2298724268,60.5824955177,61.3739003787,60.3791630481,61.0955939793,61.6356752259,58.7490841366,57.9822533924,58.384444834,59.0468835249,59.1011155142,58.371763255,-0.0096348375082,0.0139475958422
Total S. & Cent. America,81.8051982062,87.1554350758,89.8915046897,95.4651959289,100.103616313,103.497900068,109.68151866,118.798228068,129.450522787,134.061719134,133.400263255,139.144066431,148.00040556,154.816590822,161.37802947,163.964236698,160.992191854,159.251976594,154.064999285,153.555205979,151.337802928,159.00493213,163.47997621,166.673679427,168.059265854,172.609214697,173.245657352,183.619842297,186.32935574,198.234653606,204.623941868,209.914850299,220.127770416,229.221154933,230.084173908,228.616564683,232.276693074,231.380771079,227.320164611,236.337987144,242.052028079,248.58177727,262.103595999,272.845898511,272.463823735,283.212435012,290.532695447,299.18451748,311.578938282,0.0442805737257,0.07444999367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,5.561,6.116,6.513,7.536,8.278,9.097,10.156,10.957,11.866,10.613,10.713,11.65,11.141,12.0,12.504,12.188,11.046,10.469,10.109,9.82,9.835,10.377,10.67,10.561,10.381,10.855,11.694,11.392,11.483,11.322,11.32,11.704,11.921,12.379,12.152,11.85,12.889,13.16,14.238,13.851,13.99,14.163,13.426,13.36,12.846,13.393452,12.463,12.4668212702,12.51134269,0.00632070284337,0.00298951310106
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.25186509876,8.6493982508,8.14426030446,8.34473012884,8.14039373241,8.54288600653,8.24003269804,8.03148238482,8.00076422764,7.26681571816,6.58022764228,5.93674796748,5.64630081301,5.94737398374,5.72682113821,6.33064498645,3.99692682927,3.665,4.272,4.484,5.376,4.806,4.524,3.5907,3.3121,3.2167379,3.9869,4.168,4.5638,0.0979615077376,0.00109049363527
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,25.3955210302,30.0038358989,29.6764800297,28.7468618723,26.9168408845,24.8890640453,24.0662238081,20.503,14.523,11.807,10.696,10.51,9.157,8.643,7.926,7.811,7.627,7.949,8.13,8.113,7.525,8.817,8.03,7.913,9.29,7.53,8.603,8.6395819,8.6789614,0.00731024704874,0.00207378785126
Belgium,15.94,16.257,17.941,20.854,24.053,26.211,26.855,29.075,30.561,26.875,25.404,26.486,26.055,27.798,27.638,25.567,23.429,22.177,20.077,19.393,19.664,22.265,22.43,23.125,22.699,23.845,25.787,26.444,25.882,27.934,27.75,30.3,31.041,31.393,30.005,30.791,31.0,31.683,33.782,33.522,33.457,33.441,33.726,36.816,32.21,33.477,32.267,30.3543663793,31.0250653626,0.0248958971351,0.00741326063871
