Renewable energy - Biofuels production,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share,,,
Spain,0.0,0.0,9.9828306209,12.6145509446,15.9513353394,22.5693981591,35.7335042904,38.2874701719,27.5218210377,36.3225163167,70.2785458849,70.086528,122.393752941,172.639609412,210.318883641,281.892138353,250.971611294,351.720995294,359.402416639,958.387595558,1267.36293885,809.152142526,585.661184953,674.250330442,0.154417620616,0.010317820637,,,
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9657713882,30.9720612706,31.8481428706,42.8905831504,48.4421590588,80.6510414118,138.884700706,171.303955595,238.345729412,214.474058898,212.032219695,244.276893617,271.168115967,0.113126330884,0.00414959230527,,,
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6282448,8.760816,8.78481823562,39.423672,219.0204,358.935784941,275.688266394,180.27,304.0,253.377270656,299.42428898,449.453368872,0.505170971602,0.00687783014017,,,
Other Europe & Eurasia,0.0,0.0,0.0,0.0,0.0,10.5561832241,17.5936387068,24.6310941896,13.1952290301,26.3904580603,57.1013185315,113.4525672,126.1557504,137.982852,164.947881224,292.971993882,394.648993694,490.708764424,931.319921479,1175.32344968,1231.4734312,1240.93897098,1320.26421432,1295.08323338,-0.0163852109775,0.0198182127746,,,
Total Europe & Eurasia,0.0,0.0,49.6366656117,84.9338167887,150.227853701,270.977580573,424.369197188,479.44137378,404.052624861,482.340999151,720.096718314,889.351659529,1206.15822635,1619.23070075,2036.76010793,3156.72814165,5057.62836708,6826.0199798,8223.31911638,10279.8276202,11200.0803201,10318.1096395,11133.0824583,10987.8010816,-0.010345545578,0.16814253644,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.380408,4.380408,4.39240911781,4.380408,0.0,♦,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Africa,22.6750531765,22.6750531765,22.7371766098,5.66876329412,5.66876329412,5.66876329412,5.68429415246,8.50314494118,8.50314494118,5.66876329412,5.68429415246,5.66876329412,5.66876329412,5.66876329412,5.68429415246,5.66876329412,5.66876329412,5.66876329412,10.5030253317,14.9449214118,29.7867744,23.2676966118,23.3314437258,23.2676966118,0.0,♦,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39240911781,20.0983425882,54.3685934118,70.3441990588,110.585358966,173.670293647,237.906417905,335.156699521,409.444395297,415.799375448,0.0183032338654,0.00636283466714,,,
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.380408,146.099490353,395.525075294,493.241706229,621.760264941,846.407777297,901.43572624,1096.45565549,1124.30954398,1440.9950407,1597.36572303,1729.31801333,1680.48122928,-0.0255781328517,0.0257158255989,,,
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4222652106,85.0314494118,90.7002127059,93.5345943529,99.475147668,113.632936941,133.731279529,136.307990118,155.302582842,174.4613085,154.914311383,191.93166043,226.605777105,321.383228397,0.422133780123,0.00491801687985,,,
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79681935342,43.9840967671,215.522074159,527.809161205,464.259359696,718.396583489,1104.48609758,1387.92539181,1607.84587564,0.161626512746,0.0246043117932,,,
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760816,1.7521632,4.39240911781,8.760816,39.423672,74.466936,140.55709177,343.411386026,490.587694323,307.88867737,271.6467086,301.900119584,0.114415281374,0.00461987357444,,,
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84214707623,51.5342117647,79.8780282353,137.596345412,494.029074262,618.495671459,660.89487943,720.786535506,993.606570041,1250.810503,0.26230785797,0.0191407224264,,,
Other Asia Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64049793534,105.970982115,196.164868635,385.346957491,421.708783794,317.236529085,267.343023633,387.04100649,492.497920815,0.275955833895,0.0075365260967,,,
