Hydroelectricity: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0.595,0.639,0.716,0.768,0.837,0.866,0.968,1.005,1.079,1.182,1.237,1.313,1.363,1.403,1.516,1.587,1.811,1.9,1.837,1.939,2.124,2.237,2.411,2.361,2.353,2.303,2.542,2.192,2.642,2.9,2.929,3.016,2.989,3.126,3.291,3.661,3.987,4.083,4.199,3.96547042585,4.06865185319,4.43371207947,4.41274205028,4.30825451419,4.49047608273,4.5354573019,4.8875412952,4.98845997194,4.77711906594,-0.0397423058748,0.00558218872175
Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
Venezuela,0.316,0.324,0.376,0.632,0.742,0.929,1.221,1.363,1.408,1.745,2.021,2.395,2.753,2.768,3.224,3.3,3.416,3.579,4.087,4.582,5.118,5.689,6.979,7.739,7.845,8.368,10.079,10.697,10.745,11.605,11.645,12.187,12.961,13.109,13.715,14.232,13.679,13.474,13.699,15.859,17.4432026972,18.4218083903,18.7886183645,19.6209666471,19.4232837037,17.3461963162,18.8158369914,18.4947142146,18.9606193104,0.0280000008643,0.0221559796482
Other S. & Cent. America,0.787940406545,1.11542178359,1.16529771475,1.20580143933,1.30404212784,1.45029026556,1.76715874751,1.65553840326,1.83153840326,1.83940688523,1.84528281637,1.97589571147,2.26012895079,2.43173439669,2.57521577373,2.69472062024,2.8143442663,2.88241864954,3.87319272738,4.18887991057,4.80289269991,7.31974869709,8.78783304466,8.99281167698,9.84889578548,11.308133617,11.5981375346,11.3321476607,12.6916756998,13.407309793,14.3183366415,16.3746907478,17.2556700106,17.521184389,17.6899055322,18.3379677726,16.8671878945,17.8304149433,18.1356027131,17.7483680167,18.3157909764,18.4289991105,19.4226006152,19.4328840857,19.231063281,20.2749646535,20.3460100755,20.3564404971,20.9488186694,0.0319197364152,0.0244792420417
Total S. & Cent. America,9.17288422703,10.2122390318,10.8034119813,11.454553344,12.3916150841,15.0659593939,16.6636095968,18.8654435159,21.1775484238,24.2428755954,26.3544460059,29.4358206787,32.8731830305,36.1112454615,40.8754873038,45.3357526155,46.1023209147,49.8884975743,54.2161624518,59.8032796933,64.3515224687,69.5807930923,74.2242394347,76.9619856372,78.7419310844,82.2567293087,87.7532919899,89.4248824901,96.2837723074,101.903758288,105.531015288,110.901166427,116.778742191,119.193899979,119.503359962,126.02490032,118.794037247,124.625717044,129.429873883,133.412163535,141.565606523,147.812167056,152.423590078,153.472151475,158.087983621,158.72573269,168.078997601,164.300144971,158.050166067,-0.0354045033455,0.184685751796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,3.91597900167,3.92438023261,4.00462845635,4.10803000407,3.75654840024,4.81732814409,3.80596913608,3.91175272661,4.34656288184,5.13920441689,5.38426030683,4.65348237317,5.63895551432,5.64348101552,6.35760510477,6.58684436801,6.97997465719,6.99106213513,6.92544236774,6.07538670408,6.96364800652,6.99278793501,8.00741978549,7.98843462914,7.93827895189,7.12970086437,7.11485722044,7.88532379961,8.30555188487,8.07971670362,8.38738788071,7.74225256822,8.16972394443,8.409135403,9.20919599946,9.46636433689,9.15406653626,9.10236747276,7.51572431551,8.3183877902,8.29895259537,8.10923143481,8.39555599524,8.67825715613,9.2495367623,8.68438639266,7.74019097615,9.88369461918,8.39087458649,-0.148712739348,0.00980495661497
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.297,0.182,0.182,0.158,0.158,0.158,0.397,0.395,0.542,0.413,0.353,0.347,0.387,0.442,0.342,0.347,0.294,0.457,0.559,0.624,0.680952165452,0.569760600987,0.534914241752,0.505045933837,0.522333348418,0.77981173915,0.605466805449,0.412046884192,0.336946191791,-0.180022120476,0.00039373044274
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.006,0.004,0.005,0.007,0.006,0.006,0.003,0.00814590215866,0.0079196270987,0.0079196270987,0.00882472733855,0.0101823776983,0.0101823776983,0.00950355251844,0.0158392541974,0.0133049735258,-0.157698631287,1.554720984e-05
Belgium,0.0615468163099,0.0676562429289,0.0538534642712,0.0552111146309,0.0520432637915,0.0556636647509,0.030320858035,0.0407295107933,0.0386930352536,0.0543060143911,0.0414083359732,0.024663981536,0.0506856134317,0.0504593383717,0.0529483640313,0.0629044666697,0.0862107978459,0.0753495949676,0.0760284201475,0.079422546047,0.0649409422093,0.0776123455673,0.0970720007241,0.0812327465267,0.0690138932887,0.0601891659501,0.0518169887315,0.0771597954473,0.0574738652306,0.0782911707472,0.0764809702675,0.0540797393311,0.0690138932887,0.0880209983256,0.0771597954473,0.104086527583,0.0997873014436,0.0814590215866,0.0558899398108,0.0717291940082,0.0651672172693,0.0812327465267,0.0880209983256,0.0927727745848,0.0742182196678,0.0705978187084,0.0476023300389,0.0807801964067,0.0821378467665,0.0195924937725,9.598022007e-05
