Oil: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,13.4930136986,14.0663287671,15.2138630137,18.132704918,19.0665753425,21.6335616438,24.0252054795,24.8084699454,27.609260274,31.5322739726,30.9183835616,34.9423770492,43.8654794521,44.8654520548,47.803260274,61.9152185792,69.0089315068,75.1715616438,68.8722465753,69.1403825137,85.1612054795,86.4471232877,87.6660273973,87.076420765,91.2590684932,92.0096164384,103.38939726,100.248907104,104.76909589,113.710821918,111.55369863,123.810956284,141.078657534,143.93109589,130.653260274,137.100136612,137.251260274,145.575643836,151.17490411,154.564605451,169.154144423,179.653882779,182.749454338,188.074392467,190.666616047,220.419873973,226.11709589,232.975579235,247.595657534,0.062782600522,0.00276464270428
Peru,72.4346412466,92.884014411,93.5751211507,93.2771460929,91.4972034658,95.8363343699,95.7679726027,82.1113661202,95.9613150685,112.693506849,118.219260274,119.242185792,118.87630137,117.416136986,121.863835616,131.544562842,134.938219178,133.410547945,116.489780822,119.618825137,115.453890411,124.455315068,137.470520548,134.533060109,119.355315068,119.576712329,111.070712329,116.23647541,121.530821918,131.868931507,148.428767123,152.870409836,152.134383562,153.286136986,156.924630137,153.075300546,145.852438356,145.544739726,138.624027397,152.241803279,151.781461448,146.538296524,153.456207883,171.722732298,176.081871578,187.169402118,203.085478899,211.896821378,224.055549861,0.0529941394925,0.00239406805485
Trinidad & Tobago,36.7834888822,37.0372949441,38.7743440842,39.4572386767,41.6306514916,42.7671682684,41.858630137,67.2871857923,68.2661643836,67.3540547945,52.1873150685,58.2614754098,57.1672054795,52.173890411,40.4836438356,32.4480601093,32.3464657534,35.6255616438,31.4540273973,27.5406010929,28.997260274,30.9949589041,21.4744109589,19.8570765027,16.8236438356,25.3618082192,24.080109589,33.1834153005,29.0762739726,22.6473972603,25.6980273973,29.3118306011,13.6359452055,20.9947945205,35.2354794521,27.9597377049,26.5171260274,25.5234328767,23.8241013699,25.2223114754,25.695339726,29.1276465753,33.8638739726,37.0576912568,35.3538657534,38.8123972603,35.2637150685,35.3059381967,37.7583012055,0.0630230382085,0.00044087233255
Venezuela,181.512,185.041780822,186.998876712,196.395519126,197.870520548,205.518410959,211.386410959,237.975191257,257.053123288,262.695123288,267.276547945,263.159344262,354.90890411,369.947780822,379.201479452,417.908387978,434.718931507,433.220958904,423.013945205,394.055027322,407.104191781,425.723616438,407.996931507,423.860382514,410.993671233,416.239726027,401.78169863,474.355054645,438.672821918,498.640684932,484.032876712,403.729754098,432.108849315,472.56109589,506.77830137,510.359125683,572.065534247,602.597479452,506.308630137,544.58136612,605.79890411,632.891780822,639.93630137,715.894535519,726.640821918,690.871041096,688.928789334,711.921956942,776.821797775,0.10222376138,0.00865457672626
Other S. & Cent. America,432.636142091,458.184333439,482.485789109,486.461711852,520.006309719,544.596413373,563.895121908,596.65154403,637.469306821,629.847185463,638.098509966,649.23800403,671.088544283,705.623174279,727.274394864,804.150290285,798.723732088,753.378050951,711.494474082,729.991877501,676.178334825,607.542019541,640.606907583,645.447468994,706.719718039,836.735693682,832.173991905,821.888319347,847.791724772,905.377753195,945.618864946,975.460013892,1032.54461347,1082.66836268,1100.22421842,1123.58389352,1169.74562411,1177.38140387,1224.19990637,1234.66545019,1221.24218049,1234.54586357,1250.23517141,1190.24143793,1186.36289586,1198.73681934,1212.48191358,1212.03231124,1205.98074973,-0.0096348375082,0.0139475958422
Total S. & Cent. America,1628.71871058,1741.35205375,1799.02922695,1908.19861028,2015.83805509,2093.75670408,2226.3642622,2403.44478514,2628.93322288,2722.58047809,2716.93758499,2827.02018797,3010.46977248,3175.4209678,3319.56681828,3363.6031145,3320.80985497,3309.58583484,3226.36230783,3229.00826956,3218.48690004,3406.3129421,3514.02323983,3583.96689503,3633.68793923,3726.76066996,3758.52270078,3933.69672425,4017.81791871,4266.60069196,4416.80645821,4527.55654209,4755.91347899,4935.99422055,4989.98190909,4913.29262902,4971.83038446,4968.09084942,4871.79908514,5055.93271592,5199.72362985,5339.95895007,5660.52997282,5881.19785699,5913.22235482,6155.44730369,6305.85305313,6477.61221531,6774.53398783,0.0442805737257,0.07444999367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,107.068739726,118.684958904,126.179534247,144.898907104,159.317753425,176.455753425,197.067205479,212.796748634,231.431041096,208.065643836,210.780465753,226.911803279,219.245753425,236.771479452,246.355123288,240.381693989,219.531863014,209.002958904,204.323945205,198.591967213,200.30569863,210.451671233,216.958657534,215.597322404,213.890356164,223.191780822,241.39309589,234.725437158,237.218876712,234.622383562,232.909917808,240.30931694,245.333369863,254.08890411,250.245041096,243.024836066,263.658438356,270.123041096,291.730767123,283.391338798,286.618684932,290.507369863,275.66139726,273.698087432,263.819945205,276.429923068,257.737589041,258.017462359,259.4706299,0.00632070284337,0.00298951310106
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,160.366657534,168.140986301,158.363671233,161.858415301,158.363671233,166.228657534,160.366657534,155.908469945,150.880767123,139.554356164,125.518383562,111.664234973,106.865917808,112.219150685,107.426027397,119.675956284,78.7473424658,72.6351232877,83.9447945205,88.4684153005,106.239479452,96.1006136986,91.071490411,74.3269644809,72.5641068493,71.3656703151,88.5991369863,92.054489071,100.864082192,0.0979615077376,0.00109049363527
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,491.039945205,580.654273973,574.810273973,555.74715847,522.221835616,483.269945205,467.665287671,398.427131148,282.134,228.614767123,205.486876712,203.309153005,178.959917808,169.093589041,155.685835616,155.388961749,151.543315068,158.601123288,162.810794521,161.511994536,151.141205479,176.470739726,162.453068493,159.325710383,182.921753425,151.739917808,175.03490411,175.342323279,176.65592137,0.00731024704874,0.00207378785126
