Oil: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.428781204112,0.375183553598,0.321585903084,0.26872246696,0.214390602056,0.214390602056,0.214390602056,4.19207048458,11.2019089574,9.48678414097,8.62922173275,10.1039647577,9.83983556129,10.8896564383,11.5328282445,11.0269801003,11.3720352929,11.3720352929,12.8191718568,13.9435899742,15.2233018634,15.8664736696,9.38892222391,16.5011328877,15.2403995139,15.5227556332,16.3045882576,17.4556999544,18.7258159147,20.6017336827,20.9990493696,20.9268992557,21.0841125373,20.4409407312,20.3337454301,21.5924525292,21.9086403109,21.073210036,22.4667489493,28.3327069725,28.5768811079,28.7740999581,27.4560510345,27.1889477948,26.1149134133,26.1160527232,26.8092805495,27.0969022905,28.2429242254,0.0451490655541,0.00683816010132
Peru,3.39416508806,3.39416508806,3.8119047161,3.97942983573,3.8641221696,3.8641221696,3.30544763455,3.47158520053,3.7754047161,4.08870943713,3.79615665236,4.01599914163,4.78828826896,7.92133547926,10.062251073,10.2469004292,10.1144685265,10.2189034335,8.92918454936,9.67093476395,9.85338125894,9.33120672389,8.60016237482,7.41943261803,6.82476895565,6.77255150215,6.04150715308,6.11041974249,6.61589914163,6.66811659514,6.40702932761,6.31986180258,6.22962503083,6.00503776331,5.5143287455,5.03135754773,4.91116196907,4.910123607,4.59681888597,4.36212480539,4.46189151189,4.64779508349,4.62174782201,4.70729998545,4.83827642383,5.06004524382,4.90806316351,4.77529602832,4.57194429481,-0.0399610549211,0.0011069563916
Trinidad & Tobago,6.67145979021,7.56291162196,8.85056426782,9.48521031208,7.77544097693,6.93351424695,6.38873812754,7.00217096336,8.22116689281,9.26119402985,10.697421981,10.5280868385,11.3412483039,11.3907734057,10.5983717775,10.5280868385,9.36024423338,8.76594301221,7.92401628223,8.44233378562,8.63569199457,8.29798582843,7.61360394995,7.44481411126,7.34336197799,7.37494798734,7.24430859978,6.94898404829,6.45268582785,6.76348335537,6.73579268576,6.67564916675,6.43747484895,6.39691929339,6.64454162753,6.90230664858,6.885707327,7.96016526459,8.67775480326,8.18765359566,8.95506823609,9.5662705156,8.24437493894,8.65897234735,7.59293601085,7.3504146133,6.92867519674,5.95848032564,5.86824966079,-0.0124449972063,0.0014208171051
Venezuela,184.113961847,178.785908533,187.92504247,191.762383986,190.805530873,197.238062367,189.876556086,173.81234761,181.43453814,160.650215546,127.097796479,124.812680588,121.489917379,116.975083429,127.368233078,117.346330094,113.615355936,102.595024455,97.2689252034,97.6042909138,91.5040402704,98.9449370345,100.25350047,105.195081377,105.659697428,117.797051895,131.3254148,131.589960401,136.137358432,144.479366664,155.325093641,165.178120303,174.365963923,179.581893372,160.867175793,159.822977958,162.927971271,152.812088276,147.499908982,170.143744498,169.700243196,171.0436185,165.489252142,165.631740668,155.689346314,145.68840362,141.459783591,136.618929148,135.089287387,-0.00848736055195,0.0327077358961
Other S. & Cent. America,2.20598467719,2.52594512117,3.59075580078,3.90085178337,3.85744678221,2.95548345394,3.64828486261,3.99089837501,3.99498776751,3.80568880229,3.45883363351,3.46318879405,3.01081061067,2.91643886551,2.95473922967,3.63543289957,3.9473181645,4.56184701113,4.54430741192,4.40016194665,4.24928099252,4.17184448162,3.99439004475,3.57895543576,3.52901843937,3.57711033005,3.57609629365,3.56122208648,3.91756550525,4.26723927386,4.63085529221,4.96220570328,5.28182399956,6.16557297449,6.18981677639,6.54293289723,6.87557657416,7.72004845642,7.75885315209,7.36470842136,7.39553239514,7.12207945711,7.08551654669,7.06361934131,6.56754559489,6.85324236221,6.96729986578,7.10939285574,7.30320784483,0.0300762355328,0.00176824827213
Total S. & Cent. America,226.266954144,223.879342979,238.276275462,244.646882711,245.135084068,251.766027649,245.882913676,234.279799413,249.3269271,227.032286709,191.763291627,190.363257707,188.739612466,189.088957318,202.477292014,194.733286983,192.932856525,184.786934335,183.194575786,193.140283746,192.567880418,206.497413324,203.560700119,213.944674646,216.341623555,233.948434516,246.653157172,252.145934679,261.727346495,277.652542385,300.137339221,320.687129665,337.125555096,355.649448427,344.554022693,343.806843247,349.037337175,346.442263216,343.317615421,367.80097555,374.917711269,381.835046263,374.058683141,379.632653957,376.631318192,377.847922148,381.665396944,374.690666387,374.430286927,0.0020429037977,0.0906568393111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.23,13.05,13.91,13.74,13.16,12.5,11.7737,11.1957,10.2513,9.5628,9.1617,9.1004,9.027,11.449,13.851,14.069,14.979,15.334,15.378,15.459,22.2142,32.2676,42.5975,44.514,50.4159,50.8382,45.6262,43.3748,43.4453,0.00436954665929,0.0105189504102
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0977303070761,0.146194926569,0.0974632843792,0.146194926569,0.195460614152,0.487316421896,0.389853137517,0.389853137517,0.293190921228,0.730974632844,1.65687583445,2.09546061415,2.29666221629,2.92389853138,3.60614152203,4.53204272363,4.69105473965,5.45794392523,5.89652870494,6.91989319092,7.67182910547,8.18691588785,9.01535380507,9.06408544726,10.1639519359,11.2082777036,11.5981308411,14.5707610147,17.7380507343,16.958611482,18.0794392523,17.9332443258,19.0574098798,18.3718291055,16.6662216288,15.168,14.035,12.902931,12.156576,10.94062,9.979991,8.682906,-0.127584904432,0.00210230005905
Italy,2.278,1.85,1.723,1.627,1.591,1.502,1.353,1.21,1.105,1.104,1.235,1.293,1.246,1.489,1.717,1.707,1.487,1.763,2.241,2.273,2.384,2.558,3.935,4.837,4.604,4.668,4.332,4.501,4.64,4.895,5.236,5.452,5.948,5.622,5.015,4.586,4.128,5.531,5.57,5.469,6.111,5.769,5.8605,5.2359,4.57227,5.10619,5.30705,5.39713,5.56009,0.0330162756145,0.00134620571043
