Primary Energy: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,7.57694382048,8.2458172482,8.77211426657,9.19575190463,9.34457295628,10.1356691283,10.1214508492,11.2389051126,11.3240100205,12.4844687102,12.2215860524,13.0663843056,13.4304769426,14.4279704032,15.488767344,15.7212865091,16.141412201,16.9721781719,17.8912466518,18.3825166384,18.9179080894,19.6002920963,20.8438651362,21.6418837141,22.2116406098,22.881061639,23.351656313,22.9504011446,25.1616982032,26.2484781328,26.9206714815,27.8506088073,28.4102627561,28.0078821792,25.8411813506,26.0951570843,25.6348386167,25.5282989002,26.1969312787,26.7257114516,28.1812849218,28.7740933547,29.4377912934,30.3309048732,31.7638480536,33.0104265599,35.6738860763,36.8338064144,37.9790488337,0.0339170657098,0.00298332818784
Ecuador,0.739,0.78,0.845,0.994,1.061,1.267,1.392,1.558,1.544,1.788,1.782,1.966,2.419,2.493,2.589,3.266,3.634,3.999,3.965,4.454,5.027,5.249,5.454,5.344,5.474,5.539,6.174,6.011,6.427,7.018,6.576,7.416,8.273,8.397,7.90919332941,8.32216042902,8.18219568267,8.60385765398,8.85983375291,9.15126492559,9.7247399012,10.3404536412,10.9222826323,11.6428007421,11.527412114,12.7954976752,13.5728353623,14.3454647553,14.6873055439,0.0266341995448,0.00115371635184
Peru,4.57763373384,5.56166410179,5.65268713444,5.76333117497,5.79394443038,6.05174010881,6.20834227371,5.54031972666,6.27099358384,7.223144454,7.63215257476,7.82939764573,7.87972197332,7.89062382023,8.18384939635,8.7672062472,9.23513862616,9.25611422365,8.07974979007,8.54806733443,8.3721903275,8.9487912336,9.77271102161,9.54171102161,8.74571635164,8.64731491084,8.50655153792,8.37055602822,9.19677454403,9.96435275382,10.8110610556,11.1253555872,10.8678604227,11.2427342075,11.5550140367,11.879594744,11.7716911978,12.1150076896,11.9722215831,12.8301576237,13.3945781742,13.5759774604,14.8703267302,16.1994158844,16.6190101095,18.8822077219,20.6339665013,21.6088528514,21.7725180122,0.0103344628587,0.00171027355827
Trinidad & Tobago,3.04582690239,3.24158430737,3.46374001183,3.57361550788,3.69356443774,3.96216864639,3.87124120921,5.39604602435,5.34810367923,5.15877381545,4.14790510024,4.67182115219,4.85353880617,4.86556799566,4.40656197674,4.15888315156,4.26229922614,5.02707295108,5.14462040096,5.06294157578,5.14884667602,5.47488315156,5.08101452686,5.48810942662,5.38588315156,6.01638371248,6.31695460684,6.66614552821,7.04666915966,7.48962189676,8.12286008103,9.21104913265,8.94328731693,9.35428731693,10.3642873169,10.155637002,11.3505740175,12.0591809497,13.1683749258,14.5268293141,15.9153840669,20.4723548304,21.4023264566,21.0121041206,21.6748730618,22.7706960104,22.5117549774,21.7456835569,22.0206523441,0.0154191218317,0.00172976497561
Venezuela,15.772,16.185,16.906,17.919,18.222,18.288,18.592,20.053,22.523,23.473,23.762,25.745,31.76,31.887,34.096,36.707,37.983,38.876,38.595,39.187,40.413,43.558,43.186,45.139,45.341,48.184,48.553,52.692,51.999,57.5220963451,59.0152389738,57.1359182801,60.4024873387,64.2603815205,62.2958318485,63.2992181977,67.3649991361,67.2618187167,60.506233839,67.4517721425,70.4306410578,76.3030851908,81.1343166636,84.4065984073,82.8980810665,75.8244270069,77.6716780891,79.9293106164,82.8759486895,0.0397062785924,0.00651006679982
Other S. & Cent. America,22.8523148851,24.5315801064,25.8176005067,26.1240752139,27.8588258167,29.2765132529,30.7996667966,32.5324600889,34.7790741823,34.458795571,34.9421347869,35.8183437231,37.2297133634,39.2520101356,40.5300688882,44.4252161548,44.2679587641,42.2043875163,41.3011129075,42.4571211563,39.8768461514,38.9629449909,42.413728312,42.8216492392,46.7210285864,54.6723765551,54.7126075862,54.2977910807,56.7969170926,60.4708819088,63.3699677827,66.9160045669,70.58533023,73.4708816597,74.7747346132,76.8339442142,78.5059500065,80.2197243458,84.8828009824,85.0661003008,84.5369177977,86.2235071741,88.5097291782,86.0922817712,85.6824573553,87.5760970593,88.7376722504,90.2877730925,90.9605433675,0.0102115403861,0.00714512728155
Total S. & Cent. America,109.680416134,117.157148726,121.819993095,128.604498109,135.033213946,142.049279045,150.199396878,162.258673574,177.807388021,187.233796065,188.941713278,201.995205647,217.008865524,228.781630727,243.084172543,252.484881143,251.659025975,257.486108826,259.839907893,270.594291544,275.967945995,291.792853464,302.203417002,312.186993705,317.894500589,328.390811154,335.36193057,348.639225573,362.570080893,383.838828019,400.712001869,419.940912017,439.345367244,454.940505532,456.173120429,466.987965552,469.545427349,474.241074614,482.562927908,507.314529319,525.872476062,550.671038285,577.608500221,592.920906455,592.044809705,616.388622087,640.519584361,656.891736877,673.528663233,0.0281358547509,0.052906986326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,15.8039790017,16.1913802326,16.2276284564,17.4520300041,18.0195484002,20.5430071826,20.4820640481,21.7103815138,23.3834493829,23.1163309524,23.2765770335,23.929877613,24.2553337548,25.2213982278,26.6685769403,26.6260326669,25.4602235704,24.7084825861,24.5127994434,24.3844985045,25.5227202618,25.7798741148,27.2814946445,26.7153688019,26.9371246583,28.1212653315,29.5065182437,28.930823503,29.4265747764,29.2415120247,30.7113241759,30.8638872437,31.4729888349,31.9554098878,32.5755159013,32.5828066539,33.9284935768,34.138559383,34.743972971,35.3733151706,36.1795674209,35.9720035169,35.1174500938,35.7741374546,34.6686637596,36.0134300528,33.7129928911,35.415228032,34.0214681284,-0.0367229133844,0.0026724524796
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20.5163001812,22.1182183256,21.45009753,21.4635844969,21.9111795139,22.5793994656,21.8988527728,18.7005812588,16.1205863103,14.7696892441,13.9406097419,11.4177974036,10.9228759704,10.9499834369,10.9553962956,11.4012372921,11.0693568272,10.9188327184,11.8015169308,12.6029471676,13.800986664,13.5620575441,12.2692682372,12.3439192904,10.8762463938,10.6908001834,11.9225147391,12.2728259541,12.6882492438,0.0366814956069,0.00099668663461
