Renewable energy – wind,,,,,,,,,,,,,,,,,,,,,
Cumulative installed wind turbine capacity* ,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,2013 over,share
Megawatts,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
Total Europe & Eurasia,,,4820.0,6401.1,9292.8,13132.5,17739.5,23695.7,28952.5,34815.6,40896.7,48408.1156,57099.875,65982.973,76901.736,86077.81975,96187.0945269,109922.615102,121441.646322,0.104792186843,0.379614940878
,,,,,,,,,,,,,,,,,,,,,
Iran,,,9.0,9.0,9.0,9.0,9.0,12.0,12.0,15.0,20.5,48.0,74.0,84.0,92.0,90.0,91.0,91.0,131.0,0.43956043956,0.000409493437887
Other Middle East,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,13.0,19.0,19.0,0.0,5.93921780141e-05
Total Middle East,,,18.0,18.0,18.0,18.0,18.0,21.0,21.0,24.0,29.5,57.0,83.0,93.0,101.0,101.0,104.0,110.0,150.0,0.363636363636,0.000468885615901
,,,,,,,,,,,,,,,,,,,,,
Egypt,,,6.0,6.0,36.0,69.0,69.0,69.0,123.0,146.0,180.0,231.0,310.0,384.0,552.0,552.0,552.0,552.0,634.0,0.148550724638,0.00198182320321
Morocco,,,0.0,0.0,14.0,54.0,54.0,54.0,54.0,54.0,64.0,122.0,124.0,206.0,254.0,263.0,292.0,394.0,495.0,0.256345177665,0.00154732253247
Tunisia,,,0.0,3.0,11.0,11.0,11.0,19.0,28.0,28.0,28.0,28.0,28.0,62.0,160.0,247.0,277.0,277.0,305.0,0.101083032491,0.000953400752332
Other Africa,,,0.0,1.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,7.0,44.0,49.0,51.0,125.0,218.0,410.0,0.880733944954,0.00128162068346
Total Africa,,,6.0,10.0,64.0,137.0,137.0,148.0,211.0,234.0,278.0,386.0,469.0,696.0,1015.0,1113.0,1246.0,1441.0,1844.0,0.279666897988,0.00576416717148
,,,,,,,,,,,,,,,,,,,,,
Australia,,,4.0,10.0,10.0,30.0,71.0,190.0,240.0,421.0,717.0,796.0,972.0,1587.0,1886.0,2084.0,2476.0,2834.0,3489.0,0.23112208892,0.0109062794259
China,,,146.0,200.0,262.0,352.0,406.0,473.0,571.0,769.0,1264.0,2588.0,5875.0,12121.0,25853.0,44781.0,62412.0,75372.0,91460.0,0.213447964761,0.285895189535
India,,,940.0,992.0,1035.0,1220.0,1456.0,1702.0,2125.0,3000.0,4430.0,6270.0,7845.0,9655.0,10926.0,13065.0,16179.0,18420.4,20226.0,0.0980217584852,0.0632245364481
Japan,,,17.0,30.0,68.0,142.0,357.0,486.0,761.0,991.0,1159.0,1457.0,1681.0,2033.0,2208.0,2429.0,2595.0,2673.0,2722.0,0.0183314627759,0.00850871097655
New Zealand,,,4.0,25.0,35.0,35.0,35.0,35.0,56.0,167.0,167.0,170.0,321.0,325.0,467.0,495.0,603.0,603.0,603.0,0.0,0.00188492017592
South Korea,,,1.0,1.0,5.0,6.0,10.0,14.0,21.0,69.0,89.0,194.0,235.0,311.0,311.0,342.0,370.0,446.0,506.0,0.134529147982,0.00158170747764
Taiwan,,,1.0,1.0,5.0,2.6,5.0,8.5,8.5,8.5,23.9,102.0,186.0,250.4,374.3,475.9,522.7,571.0,603.0,0.0560420315236,0.00188492017592
Other Asia Pacific,,,6.0,2.0,6.0,10.4,9.0,7.5,7.5,47.2,72.0,78.0,78.0,163.6,74.0,94.0,123.0,130.0,324.0,1.49230769231,0.00101279293035
Total Asia Pacific,,,1119.0,1261.0,1426.0,1798.0,2349.0,2916.0,3790.0,5472.7,7921.9,11655.0,17193.0,26446.0,42099.3,63765.9,85280.7,101049.4,119933.0,0.186874934438,0.374899057146
Total World,4778.0,6070.0,7644.0,9982.1,13468.8,17933.5,24834.5,31865.7,39877.5,47935.3,59186.1,74089.1156,94090.875,121788.973,160139.036,197717.71975,238967.294527,284491.115102,319907.446322,0.124490113539,1.0
,,,,,,,,,,,,,,,,,,,,,Sources: BTM consult Aps.and national sources.
