Consumption by fuel*,,,,,,,,,,,,,,
,,,,,,,2012.0,,,,,,,2013.0
Million tonnes oil equivalent,Oil,Natural Gas,Coal,Nuclear Energy,Hydro electric,Renew- ables,Total,Oil,Natural Gas,Coal,Nuclear Energy,Hydro electric,Renew- ables,Total
,,,,,,,,,,,,,,
US,817.005465679,657.291177927,436.691740634,183.242604736,63.1376495187,50.6066289234,2207.9753418,831.028489119,671.01174233,455.708631019,187.931324328,61.514005512,58.6360908576,2265.83007812
Canada,104.288138845,90.24912,20.5248877424,21.6709865354,86.0211580895,4.17652633511,326.93081665,103.491291761,93.1419,20.2751482005,23.0970207911,88.5997502746,4.30515978198,332.910247803
Mexico,92.2928447543,71.6428562387,13.2808436276,1.98434149794,7.07074974748,2.25262037755,188.524261475,89.6844897462,74.4677546154,12.4421517587,2.67001620424,6.20992287007,2.47885427788,187.953186035
Total North America,1013.58644928,819.183154166,470.497472004,206.897932769,156.229557356,57.035775636,2723.43041992,1024.20427063,838.621396945,488.425930978,213.698361324,156.323678657,65.4201049175,2786.69351196
,,,,,,,,,,,,,,
Argentina,28.4635203621,42.5878213266,0.711,1.40635904374,8.36863452829,0.629259994904,82.1665878296,29.3954258024,43.2094041793,0.7134885,1.36517698282,9.20822928109,0.651830646681,84.543548584
Brazil,125.846602507,28.486959435,13.963,3.62899941168,93.9815359551,10.0477395122,275.954803467,132.739789531,33.8664172337,13.6767585,3.31390007693,87.1954142367,13.2480481513,284.040344238
Chile,17.26313002,4.8609,6.17431660227,0.0,4.56133971602,1.15972717573,34.0194168091,17.5531943986,3.90847349521,7.366255,0.0,4.42313112263,1.39770930346,34.6487617493
Colombia,13.361011157,8.85179949023,3.695,0.0,10.7799292614,0.146066505813,36.8338050842,13.8640107793,9.63471798376,4.295,0.0,10.0390247232,0.146295347448,37.9790496826
Ecuador,10.9165713128,0.592128270725,0.0,0.0,2.76909082681,0.0676743449337,14.3454647064,11.5702427801,0.539063487882,0.0,0.0,2.49780965742,0.0801896185002,14.6873054504
Peru,9.54118218089,6.09422675626,0.783748925193,0.0,4.98845997194,0.201235017108,21.6088542938,10.0193586349,5.91164470573,0.823100958727,0.0,4.77711906594,0.24129464697,21.772518158
Trinidad & Tobago,1.74045110991,20.0004557103,0.0,0.0,0.0,0.00477673666598,21.74568367,1.84508460045,20.1708040582,0.0,0.0,0.0,0.0047636854729,22.020652771
Venezuela,32.9509333161,28.265355388,0.2171265419,0.0,18.4947142146,0.00118115581301,79.9293060303,36.2200685002,27.4748123281,0.218698633,0.0,18.9606193104,0.00174991775166,82.8759460449
Other S. & Cent. America,59.1011155142,6.35127624,2.03597011773,0.0,20.3564404971,2.44297072355,90.287772526,58.371763255,7.05672523079,2.06837238082,0.0,20.9488186694,2.51486383148,90.9605421321
Total S. & Cent. America,299.18451748,146.090922617,27.5801621871,5.03535845542,164.300144971,14.7006311667,656.891694416,311.578938282,151.772062703,29.1616739725,4.67907705976,158.050166067,18.2867451491,673.528668811
,,,,,,,,,,,,,,
Austria,12.4668212702,8.13971718232,3.2409,0.0,9.88369461918,1.68409496026,35.4152259827,12.51134269,7.63895554533,3.58854258337,0.0,8.39087458649,1.89175272321,34.0214691162
Azerbaijan,4.168,7.69007241699,0.00270665288,0.0,0.412046884192,0.0,12.2728252411,4.5638,7.78479639912,0.00270665288,0.0,0.336946191791,0.0,12.688249588
Belarus,8.6395819,16.4839895357,0.05508524614,0.0,0.0158392541974,0.0512745478667,25.2457714081,8.6789614,16.4905104197,0.05542915266,0.0,0.0133049735258,0.0511344541244,25.2893409729
Belgium,30.3543663793,15.2342847152,2.9675,9.1177535412,0.0807801964067,2.49752883816,60.2522087097,31.0250653626,15.138048177,2.93371163366,9.64927365706,0.0821378467665,2.84108648606,61.6693229675
Bulgaria,3.911,2.4516122098,6.9313,3.57175182151,0.72996334344,0.475460469747,18.0710868835,4.06233368818,2.36835769561,5.90468512151,3.2065941078,0.921259899534,0.629507304007,17.0927391052
Czech Republic,8.927,7.3692,17.274,6.86161017333,0.674482527223,1.32674118659,42.4330329895,8.552509271,7.5824901,16.4927938264,6.95689460108,0.855274014526,1.47278589854,41.9127464294
Denmark,7.81817534,3.50904345513,2.4880619453,0.0,0.00398707493224,3.37684364165,17.1961116791,7.83578339791,3.35737192908,3.19602336533,0.0,0.00306716290616,3.66274167302,18.0549869537
Finland,9.04052520678,2.7467755804,3.0051,5.25505962943,3.80942063071,2.61950381875,26.4763851166,8.86509426077,2.55701251552,3.70213076294,5.4063066432,2.90637743686,2.6773378676,26.1142597198
France,81.011022144,38.0101338,11.4722,96.2581051726,13.0843121238,5.45903450865,245.294799805,80.3340617597,38.5503858,12.2416218496,95.8692537449,15.4761847988,5.90069163349,248.372192383
Germany,111.439,70.5311932741,80.1089137289,22.5143684663,4.93279630719,27.539575508,317.065856934,112.082,75.284226617,81.303143212,22.0165633344,4.63863872924,29.6959089469,325.020507812
Greece,15.147,3.65068425212,8.1357,0.0,1.03857966916,1.29893628094,29.2709007263,14.04056559,3.22124117077,7.11620192798,0.0,1.45547432509,1.40881567634,27.2422981262
Hungary,5.91503229167,9.2201558184,2.6892,3.57356518984,0.0481965877721,0.55075349595,21.9969024658,5.99590508567,7.705278,2.65317913939,3.47775806671,0.0481965877721,0.537734113698,20.4180526733
Republic of Ireland,6.464,4.023,1.482,0.0,0.181578947368,1.00735685857,13.1579360962,6.74845389,4.008,1.323,0.0,0.131578947368,1.12811649183,13.3391504288
