Hydroelectricity: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Terawatt-hours,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.3447132,0.3933266,0.4375206,0.4551982,0.508231,0.5568444,0.6098772,1.0739142,0.5789414,0.5789414,0.6054578,0.6319742,0.950171,1.082753,0.9766874,1.1578828,1.0562366,1.1843992,2.2936686,4.2116882,3.3012918,4.0128152,4.8127266,4.8259848,4.9541474,5.0115996,5.1176652,5.1397622,5.8247692,6.651197,5.502153,6.3727748,6.5716478,6.5495508,7.17736,7.35901,6.88629,7.33889,7.00712,7.2062,6.67755,6.91777,8.71916,11.02616,9.22541,8.6364,11.13309,12.23772,11.03882,-0.0954962745309,0.00291875586845
Peru,2.629543,2.8239966,3.1642904,3.3940992,3.6990378,3.8272004,4.2779792,4.441497,4.7685326,5.2237308,5.4667978,5.8026722,6.0236422,6.2004182,6.6998104,7.0135878,8.0035334,8.39686,8.1184378,8.5692166,9.3868056,9.8861978,10.6551734,10.4342034,10.3988482,10.1778782,11.2341148,9.6873248,11.6760548,12.81626,12.9444226,13.3289104,13.2095866,13.8150444,14.5442454,16.1794234,17.6201478,18.0444102,18.5570606,17.525,17.981,19.594347164,19.501672217,19.0399,19.84521,20.044,21.6,22.046,21.112,-0.0397423058748,0.00558218872175
Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
Venezuela,1.3965304,1.4318856,1.6616944,2.7930608,3.2791948,4.1056226,5.3960874,6.0236422,6.2225152,7.711853,8.9316074,10.584463,12.1666082,12.2328992,14.2481456,14.58402,15.0966704,15.8170326,18.0620878,20.2496908,22.6184892,25.1419666,30.8429926,34.2017366,34.670193,36.9815392,44.5431326,47.2743218,47.486453,51.287137,51.463913,53.8592278,57.2798434,57.9339146,60.612071,62.8969008,60.4529726,59.5469956,60.5413606,70.0872646,77.08849,81.41334,83.03442,86.7129,85.83926,76.65978,83.15471,81.73554,83.7945609803,0.0280000008643,0.0221559796482
Other S. & Cent. America,3.48222383268,4.92949503038,5.14991672056,5.32891888099,5.76308377979,6.40941279963,7.80978136877,7.31648641937,8.09430081937,8.12907478861,8.15504287869,8.73227350725,9.98841388511,10.7468069927,11.3809085904,11.9090483091,12.4377130505,12.7385609798,17.1171879394,18.5123358768,21.225903998,32.3488973919,38.8369493576,39.7428319253,43.5262100343,49.9751657071,51.2568090202,50.0812933717,56.0895915879,59.252264899,63.2784569535,72.3663082908,76.2597080449,77.4331222889,78.1787685092,81.0428147744,74.5428501812,78.7997358004,80.1484826303,78.4371376128,80.9448066413,81.4451186691,85.8362411588,85.8816879283,84.989761064,89.6031787898,89.9171569275,89.9632531327,92.5812092277,0.0319197364152,0.0244792420417
Total S. & Cent. America,40.5386445529,45.1319691771,47.7445989103,50.6222530483,54.7635037027,66.5825009453,73.6431562519,83.3739410741,93.592057504,107.138964406,116.470838679,130.088665907,145.279745085,159.590038193,180.64512859,200.356825109,203.744597051,220.47722618,239.602908339,264.294614277,284.395118398,307.505356992,328.026603758,340.125799325,347.992090234,363.525389507,387.81689862,395.204325677,425.516503335,450.353469378,466.383768966,490.116614909,516.091973241,526.765521568,528.133149016,556.954444475,524.998368207,550.770893905,572.002384638,589.601715525,625.635041469,653.241091087,673.62081399,678.25482623,698.654034814,701.472503049,742.808321998,726.108060686,698.486903916,-0.0354045033455,0.184685751796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,17.3062776,17.343406,17.698055,18.1550278,16.60169,21.2897,16.8201,17.2876,19.2092,22.7122,23.7952,20.5656,24.9208,24.9408,28.0968,29.1099,30.8473,30.8963,30.6063,26.849564,30.775146,30.903927,35.387991,35.304088,35.08243,31.509,31.4434,34.8484,36.705556,35.7075,37.067222,34.216111,36.105278,37.163333,40.6991208,41.8356505504,40.4554816503,40.2270028091,33.21499204,36.762283,36.6763911,35.837937403,37.1033201654,38.3526896758,40.8774027673,38.3797772237,34.207,43.68,37.0826311475,-0.148712739348,0.00980495661497
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.3125618,0.8043308,0.8043308,0.6982652,0.6982652,0.6982652,1.7545018,1.745663,2.3953148,1.8252122,1.5600482,1.5335318,1.7103078,1.9533748,1.5114348,1.5335318,1.2993036,2.0196658,2.4704446,2.7577056,3.0094,2.518,2.364,2.232,2.3084,3.4463,2.6758,1.821,1.4891,-0.180022120476,0.00039373044274
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.0176776,0.022097,0.0265164,0.0176776,0.022097,0.0309358,0.0265164,0.0265164,0.0132582,0.036,0.035,0.035,0.039,0.045,0.045,0.042,0.07,0.0588,-0.157698631287,1.554720984e-05
Belgium,0.272,0.299,0.238,0.244,0.23,0.246,0.134,0.18,0.171,0.24,0.183,0.109,0.224,0.223,0.234,0.278,0.381,0.333,0.336,0.351,0.287,0.343,0.429,0.359,0.305,0.266,0.229,0.341,0.254,0.346,0.338,0.239,0.305,0.389,0.341,0.46,0.441,0.36,0.247,0.317,0.288,0.359,0.389,0.41,0.328,0.312,0.210373737374,0.357,0.363,0.0195924937725,9.598022007e-05
Bulgaria,2.0019882,2.010827,2.0240852,1.303723,1.8384704,2.1522478,2.1743448,2.0947956,2.5720908,2.0815374,2.452767,2.9521592,3.5222618,2.9079652,3.31455,3.7078766,3.6150692,3.0449666,3.3499052,3.2570978,2.231797,2.3246044,2.5367356,2.5941878,2.6869952,1.8826644,2.4439282,2.0594404,1.9401166,1.4672408,2.3157656,2.9212234,2.7480622,3.0953888,2.754095,2.395737,1.3028242,2.1946728,2.9630008,3.097453,4.259,3.991,2.879,2.874,3.471,5.057,2.917,3.226,4.071416,0.26552093029,0.00107651634607
Czech Republic,2.231797,2.1036344,1.8959226,1.4672408,1.1976574,1.7103078,1.1755604,1.2551096,1.082753,1.7324048,1.8163734,1.4407244,1.966633,1.8252122,2.2892492,2.3953148,2.0594404,1.6749526,1.6528556,1.303723,1.6749526,1.8738256,2.4660252,2.1036344,1.6395974,1.524693,1.2551096,1.6395974,1.5954034,1.7810182,2.2804104,2.408573,2.0815374,1.8826644,2.2097,2.3113462,2.4660252,2.8460936,1.7942764,2.563,3.027,3.257,2.53939393939,2.38787878788,2.99898989899,3.4,2.6797979798,2.98080808081,3.7797979798,0.271518826485,0.00099941005465
Denmark,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.022097,0.0353552,0.0353552,0.0353552,0.0353552,0.022097,0.022097,0.022097,0.022097,0.022097,0.0353552,0.0353552,0.022097,0.022097,0.022097,0.0353552,0.0309358,0.0265164,0.0309358,0.022097,0.0265164,0.0232323232323,0.0232323232323,0.0282828282828,0.0262626262626,0.0191919191919,0.0212121212121,0.0170390751515,0.0176204789556,0.0135550197475,-0.228615924716,3.5840601e-06
Finland,9.5193876,10.5667854,11.8351532,10.5667854,8.8078642,9.5193876,10.6816898,9.8950366,10.0850708,12.1224142,12.15335,9.4309996,12.1179948,9.744777,10.8761434,10.2220722,13.6515266,13.0946822,13.5852356,13.2449418,12.3389648,12.396417,13.7929474,13.3642656,13.03723,10.8628852,13.2007478,15.1055092,13.47917,11.7821204,12.9223256,11.8263144,11.9809934,14.7475378,12.7367108,14.6016976,13.589655,10.7303032,9.4000638,14.886,13.726,11.457,14.132,17.06,12.68964,12.8717171717,12.402020202,16.8353535354,12.8444444444,-0.234964996576,0.00339617813006
France,46.8810922,52.2084692,45.3776574,50.4226122,52.9420896,56.6814826,48.8567252,48.831467,47.6962618,56.2302844,60.107937,48.5646282,76.3229766,68.3598326,66.4191396,69.5267496,72.1951656,70.5748578,69.4430148,65.6901096,62.3210418,63.0812156,71.075197,77.0994826,46.6503882,53.8323926,57.6351122,68.9896122,64.9503392,78.8272796,72.9371308,66.111363,63.7909156,62.110933,73.1902774,67.8114182,75.2871986,61.390843,59.7381472,59.8595050505,52.0626767677,56.2341515152,58.1833838384,60.2738787879,57.4522424242,63.2284040404,45.59871,57.824809,68.3954511,0.186045184731,0.018084326759
