Coal: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0.0203244338445,0.0256365017913,0.0288699344368,0.028638974969,0.0482705303812,0.0489634088086,0.0459778351008,0.0539552880482,0.0599503200535,0.0539552880482,0.0489634088086,0.0479602560428,0.0489634088086,0.044974682335,0.0499665615745,0.0519728671061,0.0799417216012,0.0739466895959,0.0869399063724,0.100936275915,0.0749498423617,0.0809448743671,0.108937613452,0.108937613452,0.136906467947,0.103921849623,0.186873029521,0.195877519824,0.288812458202,0.267817903888,0.272809783128,0.275819241425,0.276822394191,0.328365338683,0.318548772332,0.495151428298,0.434484570555,0.663322824114,0.715916690551,0.746059042706,0.751218114073,0.594821820961,0.825379764976,0.750310499666,0.798963408809,0.769967516958,0.817856119232,0.783748925193,0.823100958727,0.0530872866511,0.00021509353246
Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
Venezuela,0.02,0.021,0.022,0.023,0.024,0.024,0.026,0.025,0.032,0.036,0.041,0.03,0.041,0.039,0.042,0.026,0.03,0.031,0.023,0.031,0.026,0.035,0.038,0.044,0.268,0.218,0.0,0.004,0.028,0.056,0.005,0.015,0.029,0.033,0.105,0.044,0.044,0.05,0.043,0.0,0.037,0.044,0.139,0.141,0.237,0.199,0.205,0.2171265419,0.218698633,0.00999999977648,5.715053339e-05
Other S. & Cent. America,0.0783124747438,0.0793351543623,0.0793553140232,0.0773855535145,0.0784057131754,0.0674359526667,0.0604661921581,0.0605039915222,0.053544310844,0.0585745503353,0.0605846301658,0.0506173896147,0.0756728286822,0.0577156679616,0.0507509473681,0.0727559872833,0.0817559872833,0.109755987283,0.270658071306,0.200534863978,0.362294863978,0.278701384606,0.428732702144,0.392050973056,0.363234634322,0.313092583833,0.373323846644,0.371722274772,0.385506808494,0.278308783061,0.278765736433,0.295689918706,0.261076117933,0.367196096739,0.388480257817,0.455765257817,0.505391308683,0.889645476728,2.00997870147,1.84185637546,1.62648997295,1.8387730996,1.89414878998,1.96549092917,1.85042291321,1.95083058807,1.99728663297,2.03597011773,2.06837238082,0.0186982303858,0.00054050906328
Total S. & Cent. America,5.90763690859,6.11297165615,6.39422524846,6.18402452848,6.58267624356,6.99239936148,6.62644402726,6.31945927957,6.6284946309,7.08352983838,6.92854803897,7.57257764566,8.42163623749,8.9006903503,9.51071750894,9.96272885439,10.1986977089,10.4517026769,11.5745979777,13.5344711399,15.2942447063,15.441646259,16.1146703156,16.4399885865,17.2141411023,17.0900144335,17.3451968762,16.6775997946,17.2293192667,17.6721266869,18.0085755196,18.8985091601,20.0528985121,19.4245614354,19.8100290301,19.9699166861,18.8388758792,17.5168183008,19.194395392,19.9669154182,20.525058087,20.1742949206,21.9647824481,23.5192131032,22.038687372,25.3844113405,27.4249427522,27.5801621871,29.1616739725,0.0602391958237,0.00762055628002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,4.691,4.394,4.027,4.013,3.807,3.974,3.472,3.555,3.55,3.425,3.247,3.147,2.887,2.814,3.075,3.265,3.08,3.035,3.127,3.603,3.473,3.228,3.295,3.039,3.116,4.1012,4.2964,3.3395,3.0047,3.0605,3.4803,3.4885,3.6964,3.2562,3.1827,3.5969,3.7206,3.7994,4.0443,3.9812,4.0,4.0769,3.877,3.7434,2.7909,3.3622,3.4831,3.2409,3.58854258337,0.110300906003,0.00093776138965
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.092,0.092,0.092,0.092,0.092,0.089,0.067,0.012,0.003,0.004,0.003,0.003,0.003,0.0,0.0,0.0,0.003,0.002,0.003,0.00092,0.00322,0.00322,0.0054671,0.005150712,0.00293061078,0.003431508,0.00260040438,0.00270665288,0.00270665288,0.00273972610012,7.0730511e-07
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.058,1.196,1.288,1.334,1.334,1.15,1.058,0.736,0.598,0.248,0.253,0.46,0.552,0.368,0.087,0.092,0.103,0.1,0.092,0.114,0.097,0.069,0.046,0.045,0.046,0.044,0.054,0.05508524614,0.05542915266,0.00899999961257,1.448479907e-05
Belgium,19.16914485,17.48675788,17.16227434,17.71833003,17.25626409,16.2626391,13.46663391,12.86186087,10.79344951,11.54492176,8.622439162,8.985706984,9.113952732,9.333109017,10.39856559,10.48276066,10.85920588,10.87622619,9.281180238,10.7634168,10.73316328,9.158165197,9.113769906,9.209673069,9.676227273,10.5969,10.0635,9.2138,8.493,8.9671,8.652,8.2607,7.9809,8.0515,7.06,7.9224,7.3093,6.3235,5.9397,5.7804,5.081,4.8601,4.3284,4.4361,3.0229,3.6727,3.405,2.9675,2.93371163366,-0.00867760740221,0.00076664029621
