Renewable energy -  Biofuels production,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Spain,0.0,0.0,0.19991074553,0.253304235836,0.320307938542,0.453200766247,0.715579754317,0.768824702247,0.552647008789,0.729367797524,1.40736,1.40736,2.45770588235,3.46665882353,4.21173176471,5.66048470588,5.03959058824,7.06267058824,7.19719764706,19.2447308345,25.4490549969,16.2480349905,11.7281328872,13.5391632619,0.154417620616,0.010317820637
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280437176471,0.621928941176,0.639520941176,0.858903529412,0.972734117647,1.61949882353,2.78884941176,3.43044,4.78605882353,4.30670800999,4.25767509428,4.89175643394,5.44514289089,0.113126330884,0.00414959230527
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052776,0.17592,0.17592,0.79164,4.398,7.20754588235,5.52078352941,3.61987951807,6.10441767068,5.08789700113,5.99610822951,9.02516804964,0.505170971602,0.00687783014017
Other Europe & Eurasia,0.0,0.0,0.0,0.0,0.0,0.211971550685,0.352320655738,0.494600284932,0.264964438356,0.529928876712,1.14348,2.278164,2.533248,2.77074,3.30315670588,5.88297176471,7.92467858824,9.85358964706,18.6501070588,23.6008724836,24.7283821527,24.9184532326,26.438894278,26.0056874173,-0.0163852109775,0.0198182127746
Total Europe & Eurasia,0.0,0.0,0.99399691379,1.70549832909,3.01662356828,5.44131687897,8.49818711861,9.62733682288,8.11350652332,9.68556223194,14.4202658824,17.8584670588,24.2200447059,32.5146727059,40.787052,63.3881152941,101.558802552,137.068674293,164.675723521,206.42224137,224.901211248,207.190956617,222.94506426,220.638575937,-0.010345545578,0.16814253644
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08796,0.08796,0.08796,0.08796,0.0,♦
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Africa,0.455322352941,0.455322352941,0.455322352941,0.113830588235,0.113830588235,0.113830588235,0.113830588235,0.170745882353,0.170745882353,0.113830588235,0.113830588235,0.113830588235,0.113830588235,0.113830588235,0.113830588235,0.113830588235,0.113830588235,0.113830588235,0.210327882353,0.300098823529,0.598128,0.467222823529,0.467222823529,0.467222823529,0.0,♦
,,,,,,,,,,,,,,,,,,,,,,,,,,
