Carbon Dioxide Emissions *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes carbon dioxide,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,21.9852761724,23.7393276588,25.0662753036,25.8268368312,25.952110074,28.0613612988,27.393750918,30.0961754064,30.128380272,33.168101742,31.1480042364,33.5947617828,34.4507237352,36.0476948592,38.2652669736,38.0070532667,39.2447869693,41.1783419716,44.1643170708,44.3345752028,45.0422942311,44.9367145032,47.7838859062,49.040773801,49.5338070294,51.4142478765,52.895602995,55.3451902298,58.1568535007,58.4491881169,60.2118170829,60.1326672268,63.8401062641,62.6752807708,54.3152386563,56.8934139241,54.7786661826,52.3665625745,53.1728290072,52.72285117,56.886975444,57.3572450326,57.9935665481,59.8501244277,66.0040949916,70.5566665154,73.5336008221,76.4298275577,82.1888379382,0.0782964676619,0.00234193354845
Ecuador,2.0285590284,2.1206267604,2.2894176024,2.7344116404,2.9032024824,3.4584349644,3.8052234216,3.9729843108,4.3003836972,5.0131947708,4.958364438,5.5125544068,6.7113399168,6.8449323312,7.2283259808,9.1888034544,10.3700295252,11.3867855316,10.497019356,10.6312439772,13.019775696,13.207700214,13.2892758252,12.924484128,13.260370158,13.356582822,15.1949690208,14.678669592,15.4494134172,16.7115828924,16.1602399476,18.1213161336,20.632006116,21.0242967156,19.1023964172,20.2274733132,20.12259816,21.2145121761,22.1605848568,22.8703678938,24.9102435188,26.5406377428,27.0102553761,27.6635369263,28.4636193331,32.7373741094,33.4024084214,34.8929198694,36.7743498988,0.0568075627088,0.00104786839802
Peru,11.9942426132,14.8730600427,14.9355421883,15.0879454234,14.9826056925,15.6904211408,15.6458456468,13.5015411528,15.5265677792,18.0935605908,19.1027999608,19.4561743276,19.463028046,19.3701969128,19.9962630076,21.5950761772,22.3115068916,22.0208328576,18.79546693,19.8154114592,18.7668015828,20.1837164432,22.2178947064,21.684023278,19.3384294388,19.1747153056,18.1034212728,18.79485977,20.0369051888,21.559552874,24.06458782,24.7664836864,24.1534900384,24.841199678,25.2734931764,25.318807384,23.905696034,24.8051462272,23.9972437048,27.1877131523,28.0351803173,27.1543836485,30.7582748937,34.589066069,35.31091794,40.6608106211,44.5282546209,46.6994593149,47.893961034,0.0283882953227,0.00136471667793
Trinidad & Tobago,8.58983615972,9.05953724915,9.64913972235,9.93809062994,10.3004437908,10.9757029734,10.7023626684,15.3431269308,15.2473915044,14.76809379,11.7625597668,13.2537834864,13.6208647044,13.4097274512,11.8635322608,10.9571612364,11.1922626168,13.120154226,13.2158393532,12.857076648,13.1208157404,13.9682408076,12.6537572664,13.5393324552,13.1953365936,15.0248718972,15.6737170404,16.8713260596,17.6063481072,18.379507716,19.9851162084,22.701227346,21.4056304596,22.666958388,25.6110240384,24.8365503755,27.5765229572,29.208281753,31.7477648263,34.9858435383,38.2538667729,49.0728290368,51.4503137845,50.6536472925,52.1383726223,54.8425192425,54.1044974105,52.3182792482,53.039504834,0.01656283997,0.00151133653708
Venezuela,43.0612212528,44.0918690616,45.7051519584,47.866470228,48.3084372096,48.2978822868,48.4906006908,52.5671454996,58.8993288084,60.4471259664,60.6628717704,64.1305386288,80.8092090864,81.076251564,85.4599316472,92.9510170092,96.4626871356,98.0572173552,95.7864100788,95.0153564304,97.1118923436,103.885845854,99.1041057612,102.48479185,102.648629707,108.150461719,103.87860269,114.872925964,111.510536191,124.973399344,127.556213433,118.688981052,125.638763918,136.05194024,131.419660912,132.524524749,145.61757961,146.698744312,127.338114799,139.924564133,144.876728497,157.267845189,168.025975339,176.723177018,174.095162575,160.821084628,161.539369898,168.373418886,176.555550792,0.0514680147171,0.00503086997196
Other S. & Cent. America,67.7563704397,71.9036444878,75.6958561301,76.5096242292,81.5321390728,85.4214269356,88.3747701038,94.0236223341,100.274420727,99.2383872619,100.547613887,102.473211698,105.858822436,111.319952353,114.816197907,126.312422508,125.348670446,118.691502905,113.032337541,115.585194401,106.128516808,95.4894475719,101.589376403,102.125363952,111.245021133,130.742973309,130.101327788,129.497774519,133.336326181,141.993384928,148.045330189,152.434364561,160.894636798,169.272210593,171.727994094,175.769315874,184.95236447,187.296764169,200.409820878,201.909628229,198.657100814,203.047439097,206.169812414,198.083693564,195.946255246,198.225320753,201.426612443,204.35859298,203.905557015,0.00051678472664,0.00581019604579
Total S. & Cent. America,304.504539237,323.808465422,335.795668522,353.876634892,370.75826117,383.636174035,402.055861668,431.238838513,470.442655087,488.831573412,486.230380157,514.527034472,549.690881529,574.476177768,602.416031564,616.610230927,610.579556403,614.590282385,606.815803801,620.003448281,622.048920329,654.189214072,670.877709208,691.147471819,702.479938047,719.646040033,724.008908795,757.067932013,777.043696864,822.558925916,857.993132878,894.819014834,934.522831712,971.684697464,973.797665098,981.779472427,999.248049785,993.623696359,999.455265858,1055.8990108,1086.06168851,1130.19933204,1193.34499252,1234.26990186,1216.49140612,1282.57879423,1321.33426891,1370.54936657,1428.19465325,0.04491494596,0.0406957566738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,39.488620626,40.2997461372,39.8907167112,43.2378414108,45.5986648872,49.8610450008,52.0458344712,55.408236804,58.9414438296,55.3126772808,54.9028188684,58.6553765328,56.2631562432,59.037710922,61.5242430684,60.8748201468,56.144129706,53.8733433636,53.3325637152,55.4560165656,55.7763528204,56.1240623736,57.786569478,55.9331233596,56.5359555708,63.1352324362,67.3005717367,62.3253830616,62.0090837194,62.161126524,65.222275199,67.508968032,68.3547870427,68.4725148346,67.8629125678,67.7592440503,72.4642200029,73.4553310219,79.586809187,78.3277228714,79.9186055508,79.4775192403,75.3692999918,75.9263998057,70.1036850516,75.7320239243,72.0693044784,70.2145314915,70.5518904637,0.00755757838488,0.002010344062
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.581695894,57.9006596934,55.9676162556,56.2000297032,57.104189864,58.9587122582,56.54532994,48.7991052848,42.357325414,38.9604138101,36.6579595602,30.2830950667,28.8175147926,28.963976903,29.0527434449,30.5230199115,28.1922431566,27.2151971075,29.4875947111,31.3666329078,34.6928759116,33.9823727335,30.8282684731,30.4011560579,26.7079661784,25.6006118706,29.4566996787,30.8643992786,32.3015667527,0.049431219697,0.00092041847529
