Oil: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Trinidad & Tobago,135.0,153.0,179.0,191.0,157.0,140.0,129.0,141.0,166.0,187.0,216.0,212.0,229.0,230.0,214.0,212.0,189.0,177.0,160.0,170.0,176.0,169.0,155.0,151.0,149.0,150.0,149.0,144.0,134.0,141.0,142.0,141.0,135.0,134.0,141.0,138.989071038,139.034693151,160.729912329,175.219323014,164.871603825,180.818775068,193.160037534,166.468611781,174.362366667,153.314899726,148.417960822,139.902290959,119.983606557,118.490410959,-0.0124449972063,0.0014208171051
Venezuela,3503.0,3402.0,3576.0,3639.0,3631.0,3754.0,3615.0,3301.0,3455.0,3060.0,2422.0,2371.0,2314.0,2227.0,2425.0,2228.0,2163.0,1954.0,1852.0,1853.0,1744.0,1886.0,1910.0,1998.0,2012.0,2244.0,2501.0,2499.0,2592.0,2752.0,2959.0,3137.0,3321.0,3480.0,3126.0,3096.99491257,3169.16529185,2974.37498219,2868.24113392,3304.95091754,3307.88857534,3335.59541096,3229.65561644,3221.67069945,3033.40591781,2838.1880274,2765.85398442,2643.46719126,2623.043,-0.00848736055195,0.0327077358961
Other S. & Cent. America,47.1345205479,54.4110958904,78.2142465753,84.5713114754,83.8046575342,63.9467123288,80.3846575342,89.2371584699,89.7389041096,85.5961643836,77.88,77.6461202186,68.0136164384,65.8723287671,66.254739726,80.0556557377,87.1041917808,99.3775890411,97.9136986301,94.6876229508,91.1598356164,88.8238630137,85.6484657534,77.0825956284,76.1854246575,77.2546575342,77.1881369863,76.0228415301,82.5295068493,89.5005479452,96.4025205479,101.755901639,107.613945205,124.930876712,123.531616438,126.319398907,133.572575342,148.839643836,149.46769863,143.597182193,146.097812583,139.903132079,139.391169641,137.983992592,128.524733421,133.819741549,136.984085792,140.37657898,145.971708827,0.0300762355328,0.00176824827213
Total S. & Cent. America,4333.80849315,4291.27520548,4570.84547945,4681.72978142,4702.33671233,4829.41136986,4722.92273973,4494.35300546,4792.37452055,4367.98356164,3697.9709589,3659.66797814,3639.72868493,3648.07726027,3902.53747945,3746.76603825,3725.02967123,3571.45978082,3539.08630137,3718.69418033,3719.95435616,3984.19153425,3928.05339726,4111.28478142,4166.472,4506.66561644,4748.79964384,4844.89387978,5040.39471233,5346.99260274,5782.31868493,6158.55480874,6493.04408219,6907.87882192,6698.96778082,6652.02828251,6798.13446034,6746.60593836,6691.08845556,7160.68250356,7325.02217521,7473.94016111,7321.96257824,7394.01508251,7347.87929787,7366.79598242,7448.30495322,7274.05335187,7292.92135362,0.0020429037977,0.0906568393111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,273.517808219,268.389041096,285.673972603,279.978142077,268.210958904,254.331506849,239.720575342,227.537185792,207.404082192,193.421753425,185.068520548,183.289398907,182.306575342,230.695616438,278.718630137,281.184972678,300.155342466,307.039589041,307.933972603,308.653688525,444.91860274,646.166684932,855.562575342,894.514754098,1014.25035616,1023.25789041,918.796958904,871.897431694,876.746479452,0.00436954665929,0.0105189504102
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,4.0,10.0,8.0,8.0,6.0,15.0,34.0,43.0,47.0,60.0,74.0,93.0,96.0,112.0,121.0,142.0,157.0,168.0,185.0,186.0,208.0,230.0,238.0,299.0,363.0,348.0,371.0,368.0,390.0,377.0,342.0,311.255671233,287.218989071,264.775214219,249.459600658,224.50751726,204.235334945,178.177988877,-0.127584904432,0.00210230005905
Italy,47.7662739726,39.0769917808,36.5597369863,34.5828251366,33.8612356164,31.8993013699,28.5380246575,25.4718251366,23.3564712329,23.3745150685,26.8821890411,28.2170437158,27.102539726,31.3970356164,36.2258986301,35.4946939891,31.0453150685,36.8385287671,46.727539726,47.2616393443,49.6851726027,53.270139726,81.8094575342,100.231855191,95.6747452055,97.0096684932,90.0265287671,93.2523251366,96.374739726,101.647158904,108.796032877,112.91931694,123.514230137,116.753972603,104.166621918,94.9527185792,85.7153232877,114.816608219,115.614410959,113.206174863,126.822180822,119.719191781,121.607509589,108.363407104,94.896309589,105.978849315,110.136276712,111.687622951,115.580624658,0.0330162756145,0.00134620571043
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,484.767123288,502.79369863,523.063835616,545.089344262,556.387671233,570.744657534,588.682191781,568.882513661,507.356164384,445.853589041,450.438876712,493.123306011,556.873068493,558.491424658,655.626520548,740.207923497,841.490246575,1020.57690411,1111.23830137,1283.07699454,1330.18488219,1403.04204384,1453.40733148,1526.43947541,1664.13730849,1739.76819452,1757.75320548,1724.37588251,1785.1658411,0.0353361330926,0.0202930681407
Norway,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,32.0,35.0,189.0,279.0,287.0,356.0,407.0,528.0,512.0,532.0,661.0,752.0,823.0,907.0,1054.0,1196.0,1567.0,1716.0,1955.0,2217.0,2377.0,2693.0,2903.0,3232.0,3280.0,3138.0,3139.0,3346.0,3418.0,3333.0,3264.0,3179.8602218,2960.93271576,2772.23839344,2550.5965777,2466.12475535,2348.93130427,2135.72589967,2039.57837066,1916.55513658,1837.12652624,-0.044089820236,0.020137578249
