Oil: Regional consumption - by product group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Fuel oil,1507.819178,1613.453972,1677.421507,1711.412022,1859.176027,2087.116164,2191.712466,2421.781011,2701.831232,2511.04,2356.97863,2667.086065,2928.842192,2885.44411,2705.912329,2415.785109,2014.71315,1654.155616,1431.51726,1381.165028,1226.023151,1424.102054,1263.663972,1381.582923,1365.563836,1223.691096,1147.243424,1079.371311,1061.503972,1003.093288,835.094246,830.995629,777.466986,869.236986,814.051096,893.243989,793.827809,686.407534,763.219589,858.704918,913.92863,683.317808219,717.745205479,609.3730484,507.695890411,532.41369863,458.997260274,367.281420765,319.882527774,-0.129053337064,0.0169368331693
Others,2202.396521,2290.105342,2322.913726,2525.690902,2769.36074,2802.058,2820.13463,3089.396475,3255.101288,3154.894027,3025.044466,3170.784508,3284.29726,3240.644192,3463.476027,3299.401038,3026.176493,2963.15652,2980.876412,3167.10019055,3186.04605514,3158.18230149,3341.37832811,3446.96106553,3387.48501304,3356.59167174,3389.27813664,3572.69431728,3538.72410996,3751.10794608,3732.97693197,3969.06950846,4016.80566975,3923.82945277,4289.70876856,4143.31926375,4081.57578166,4172.27942293,4108.63624475,4238.65054588,4142.77794577,4178.38082192,4165.96164384,3827.2729238,3766.18082192,3920.88219178,3883.37534247,3912.73224044,4145.88420941,0.0595880205042,0.219512299351
Total US,11522.187698,12100.347314,12566.880466,13404.548552,14152.985096,14709.910246,15222.758083,16380.813852,17317.932767,16630.648,16333.560877,17460.744535,18443.366767,18755.940658,18438.21115,17062.354836,16059.695341,15294.962684,15234.540302,15725.3589345,15726.1309871,16280.8936155,16664.6691231,17283.2501345,17325.233205,16988.1823577,16713.4430676,17032.7827043,17236.230986,17718.6475101,17724.819782,18309.3581975,18620.5741078,18917.1879188,19518.9017816,19701.3681968,19648.6197277,19760.9048479,20033.0400808,20731.5437159,20802.1603828,20687.4191781,20680.3835616,19490.4137318,18771.3972603,19180.1287671,18882.0739726,18490.215847,18886.7972603,0.0214481765146,1.0000000204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. & Cent. America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light distillates,403.207435253,450.974046225,466.520983641,496.050414914,528.912370448,566.39101424,605.354628821,660.905511533,728.401589659,729.980588246,735.760595954,759.821674754,795.342945925,855.476285845,896.599934828,894.794376899,911.415238654,931.541137793,935.863334808,945.828577734,984.263785027,1030.01692984,1051.17612335,1069.12500575,1111.80958025,1147.84061907,1186.61480342,1194.9051176,1250.16535139,1347.12051298,1398.25318333,1443.35255394,1509.90392013,1528.91406091,1619.09356729,1477.21937915,1403.69852373,1404.15881417,1382.47720759,1400.31806009,1465.41363041,1497.55204543,1587.65725891,1666.61280932,1768.16195855,1846.45912199,1877.27784612,1937.83094761,2038.76565559,0.0520864361817,0.300945511753
Middle distillates,429.062462185,449.764657436,469.975912756,498.538665041,540.26444041,573.727085231,610.707925013,642.818487297,701.682819467,754.478250509,771.883042448,820.506328915,887.044188584,936.779870928,984.399330241,989.379862359,1001.46877391,1017.69816065,986.98054446,988.349821698,994.667025993,1070.0781078,1120.06297107,1150.55346029,1152.03456434,1169.00562942,1206.81805956,1256.91847033,1292.24251775,1369.20750647,1449.90229118,1519.15991266,1610.26155317,1683.40899251,1689.31480176,1675.88105673,1735.00399105,1713.85242013,1728.71058149,1872.3432246,1883.90208907,1912.40935788,2100.12013631,2160.66211633,2137.08717254,2342.86505325,2470.99791674,2586.61293256,2712.16324401,0.0485384998514,0.400346824161
Fuel oil,571.670665181,604.477574533,618.422087459,655.173724423,658.850235486,659.05485052,696.539151317,733.907124997,804.286924356,814.066594093,775.862090232,806.570986081,854.197881509,873.513648897,911.404233011,894.339747767,835.034118928,780.797903563,730.714590066,707.405064028,640.946090371,640.157926137,666.432825213,657.370913882,662.039469489,666.729007522,639.0506066,622.980365561,639.034223695,675.052842854,677.863916167,692.783955628,752.264836324,783.662323438,673.314054015,737.688213038,754.03029806,744.961899872,708.308274794,712.585284174,714.446085956,731.716507958,746.132201206,746.500627036,724.786265774,699.394670411,658.752058046,664.21070586,678.244489887,0.0211285122376,0.100116771412
Others,224.778147957,236.13577556,244.11024309,258.435805906,287.811008743,294.58375409,313.762557049,365.813661315,394.561889398,424.055045239,433.431856355,440.121198216,473.884756458,509.651162127,527.1633202,585.089127474,572.891723479,579.548632826,572.803838498,587.424806095,598.609998652,666.059978318,676.351320205,706.917515114,707.804325153,743.185413946,726.039231202,858.892770761,836.375825871,875.219829656,890.787067527,872.260119857,883.483169374,940.008843689,1008.25948602,1022.50398011,1079.09757162,1105.11771524,1052.30302127,1070.68614706,1135.96182441,1198.2810388,1226.62037639,1307.4223043,1283.18695795,1266.72845804,1298.82523222,1288.95762928,1345.36059834,0.0437585904965,0.198590864355
Total S. & Cent. America,1628.71871058,1741.35205375,1799.02922695,1908.19861028,2015.83805509,2093.75670408,2226.3642622,2403.44478514,2628.93322288,2722.58047809,2716.93758499,2827.02018797,3010.46977248,3175.4209678,3319.56681828,3363.6031145,3320.80985497,3309.58583484,3226.36230783,3229.00826956,3218.48690004,3406.3129421,3514.02323983,3583.96689503,3633.68793923,3726.76066996,3758.52270078,3933.69672425,4017.81791871,4266.60069196,4416.80645821,4527.55654209,4755.91347899,4935.99422055,4989.98190909,4913.29262902,4971.83038446,4968.09084942,4871.79908514,5055.93271592,5199.72362985,5339.95895007,5660.52997282,5881.19785699,5913.22235482,6155.44730369,6305.85305313,6477.61221531,6774.53398783,0.0458381518762,0.99999997168
