Natural Gas: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Billion cubic metres,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0666666666667,0.0966666666667,0.0555555555556,0.111111111111,0.138888888889,0.126666666667,0.0811111111111,0.0833333333333,0.06,0.0466666666667,0.0755555555556,0.0977777777778,0.121111111111,0.174444444444,0.177777777778,0.176666666667,0.164444444444,0.192222222222,0.152222222222,0.25,0.306666666667,0.307777777778,0.354444444444,0.32,0.308888888889,0.327777777778,0.298888888889,0.304444444444,0.286666666667,0.312222222222,0.317777777778,0.144722087968,0.252552505273,0.320598794623,0.348365772456,0.445137075845,0.466044035808,0.407329530906,0.546557347087,0.567464599919,0.501447013918,0.657920300805,0.59895943098,-0.0871228426695,0.00017847558775
Peru,0.38,0.396666666667,0.371111111111,0.413333333333,0.421111111111,0.413333333333,0.493333333333,0.474444444444,0.464444444444,0.477777777778,0.59,0.64,0.635555555556,0.664444444444,0.614444444444,0.66,0.757777777778,0.795555555556,0.524444444444,0.707777777778,0.552222222222,0.585555555556,0.582222222222,0.548888888889,0.465555555556,0.445555555556,0.417777777778,0.376666666667,0.396666666667,0.414444444444,0.401111111111,0.406666666667,0.241111111111,0.408888888889,0.411111111111,0.345555555556,0.37,0.442222222222,0.523333333333,0.86,1.51685207366,1.7752147582,2.67553176069,3.39676897656,3.47393867631,5.41804813957,6.14326888649,6.77136306251,6.56849411748,-0.0273021943867,0.00195725425147
Trinidad & Tobago,1.16888888889,1.37111111111,1.51333333333,1.58777777778,1.59666666667,1.82666666667,1.78035731346,1.84014044139,1.76726855833,1.61457437661,1.46744530429,1.65169102895,1.94148275533,2.31778446546,2.53,2.75888888889,2.89333333333,3.54111111111,3.95222222222,4.12222222222,4.11777777778,4.34444444444,4.50222222222,5.06777777778,5.11555555556,5.27111111111,5.7,5.5,6.17,7.07,7.59,8.57,9.3,9.3,9.54,9.7447157458,11.1651700265,12.006214961,13.3559457098,14.7798783551,16.3136721746,21.1941403325,21.9372853535,21.3176016403,22.1662041618,23.1816389689,23.0942339881,22.222728567,22.4120045091,0.0112802842632,0.00667824130505
Venezuela,6.77333333333,7.10222222222,7.78222222222,8.03333333333,8.26666666667,7.71,7.47222222222,7.42666666667,9.14888888889,9.66888888889,9.40444444444,11.6577777778,12.7255555556,12.8411111111,14.3822222222,14.8055555556,14.8855555556,15.8833333333,15.64,17.3,17.3255555556,19.0744444444,18.5866666667,19.0277777778,19.5377777778,21.9655555556,21.9022222222,21.6166666667,23.3288888889,24.6755555556,27.5011111111,29.7311111111,30.83,32.3355555556,27.41,27.9244444444,29.5933333333,28.4155555556,25.224,28.405,27.419,31.483,36.1543224596,34.2913140212,32.2712678503,29.0378935848,29.7253657563,31.4059504311,30.5275692534,-0.0253055226058,0.00909648556262
Other S. & Cent. America,0.0422222222222,0.0455555555556,0.0477777777778,0.0488888888889,0.05,0.0544444444444,0.0588888888889,0.107777777778,0.122222222222,0.127777777778,0.167777777778,0.207777777778,0.237777777778,0.255555555556,0.298888888889,0.31,0.353333333333,0.367777777778,0.4,0.351111111111,0.386666666667,0.442222222222,0.53,0.538888888889,0.666666666667,0.726666666667,0.754444444444,0.8569608908,0.884471843249,1.0373491362,1.14781410172,1.17752919569,1.14677986337,1.38826807524,1.75921515711,1.77432289788,2.32253496706,2.39842040727,3.0870554455,2.96260860227,3.27163267344,3.91067124185,4.49989900519,4.73171777655,5.04944981667,5.35555688243,5.82119444444,7.0569736,7.84080581199,0.114116035402,0.00233637262136
Total S. & Cent. America,14.2163297694,15.1961144028,16.3676124167,17.2230270083,17.7281181167,18.1246888889,18.5466895357,19.6916565525,22.1935207805,23.3455260433,23.3656797487,27.2062026956,29.3924466442,30.3241505766,32.8725744444,34.9857327778,36.0055,39.9551544444,41.7038038889,45.0103066667,45.899915,49.6969633333,49.8338033333,54.1764733333,56.0753244444,57.8229266367,58.4847175744,60.3133595169,64.7956916471,68.2134902956,75.0696717995,83.1417607107,84.9341373567,90.4895248986,89.5139423988,95.1208462762,100.189946126,101.30704566,106.817608264,118.979400712,123.906786004,135.963848475,142.849939912,143.70188589,138.620320028,148.01012896,151.893061191,162.323247352,168.635625225,0.041733969003,0.0502493828535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,1.81777777778,1.95222222222,1.87,1.99444444444,2.42,2.93444444444,3.37111111111,3.64333333333,4.00444444444,4.34111111111,4.33555555556,4.93777777778,5.03222222222,5.23444444444,5.19,4.98555555556,4.75222222222,4.6,4.69444444444,5.22666666667,5.6,5.43666666667,5.67222222222,5.43333333333,5.83555555556,6.42333333333,6.81,6.68777777778,7.03333333333,7.23444444444,7.89888888889,8.40777777778,8.10333333333,8.31888888889,8.49777777778,8.11111111111,8.59666666667,8.52444444444,9.40111111111,9.48555555556,10.0011111111,9.3972132,8.8982928,9.5079672,9.2843496,10.0816827919,9.47329381553,9.04413020257,8.4877283837,-0.0589495897293,0.00252914009616
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.1949278694,14.6609111942,14.4798191395,14.2987270757,15.0230953127,15.3216816212,14.6609111942,11.4023320822,8.41646898075,7.87319280658,7.7826467774,5.70116604018,5.42952795264,5.06734383682,5.42952795264,5.24843589518,7.52825555324,7.54981413158,7.74168547865,8.32669685293,8.6009049984,9.09230771453,8.00542988382,9.15891404954,7.8204525078,7.43411766523,8.14171947692,8.54452490776,8.6497737768,0.0150911705568,0.00257742567919
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.96836858572,9.13975928026,10.3168576632,11.9456082554,12.5794304561,13.4029681504,14.0270889936,16.2896617864,15.1136413401,13.2121747291,11.9456082554,12.5794304561,14.389273103,14.5703651668,14.842003249,15.7463856132,15.6558395858,16.1085697317,15.8369316405,17.9184123786,18.3711425245,19.0045249333,18.8461538922,19.2398190516,16.1239819399,19.7131222201,18.2986425787,18.3155439286,18.3227893552,0.00313639873639,0.00545975286514
