Natural Gas: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0.342,0.357,0.334,0.372,0.379,0.372,0.444,0.427,0.418,0.43,0.531,0.576,0.572,0.598,0.553,0.594,0.682,0.716,0.472,0.637,0.497,0.527,0.524,0.494,0.419,0.401,0.376,0.339,0.357,0.373,0.361,0.366,0.217,0.368,0.37,0.311,0.333,0.398,0.471,0.774,1.36516686629,1.59769328238,2.40797858462,3.0570920789,3.12654480868,4.87624332562,5.52894199784,6.09422675626,5.91164470573,-0.0273021943867,0.00195725425147
Trinidad & Tobago,1.052,1.234,1.362,1.429,1.437,1.644,1.60232158212,1.65612639725,1.59054170249,1.45311693895,1.32070077386,1.48652192605,1.74733447979,2.08600601892,2.277,2.483,2.604,3.187,3.557,3.71,3.706,3.91,4.052,4.561,4.604,4.744,5.13,4.95,5.553,6.363,6.831,7.713,8.37,8.37,8.586,8.77024417122,10.0486530239,10.8055934649,12.0203511388,13.3018905196,14.6823049571,19.0747262992,19.7435568181,19.1858414762,19.9495837456,20.863475072,20.7848105893,20.0004557103,20.1708040582,0.0112802842632,0.00667824130505
Venezuela,6.096,6.392,7.004,7.23,7.44,6.939,6.725,6.684,8.234,8.702,8.464,10.492,11.453,11.557,12.944,13.325,13.397,14.295,14.076,15.57,15.593,17.167,16.728,17.125,17.584,19.769,19.712,19.455,20.996,22.208,24.751,26.758,27.747,29.102,24.669,25.132,26.634,25.574,22.7016,25.5645,24.6771,28.3347,32.5388902137,30.862182619,29.0441410653,26.1341042263,26.7528291806,28.265355388,27.4748123281,-0.0253055226058,0.00909648556262
Other S. & Cent. America,0.038,0.041,0.043,0.044,0.045,0.049,0.053,0.097,0.11,0.115,0.151,0.187,0.214,0.23,0.269,0.279,0.318,0.331,0.36,0.316,0.348,0.398,0.477,0.485,0.6,0.654,0.679,0.77126480172,0.796024658924,0.933614222578,1.03303269155,1.05977627612,1.03210187703,1.24944126771,1.5832936414,1.59689060809,2.09028147035,2.15857836655,2.77834990095,2.66634774204,2.9444694061,3.51960411766,4.04990910467,4.2585459989,4.544504835,4.82000119418,5.239075,6.35127624,7.05672523079,0.114116035402,0.00233637262136
Total S. & Cent. America,12.7946967925,13.6765029625,14.730851175,15.5007243075,15.955306305,16.31222,16.6920205821,17.7224908972,19.9741687025,21.010973439,21.0291117739,24.4855824261,26.4532019798,27.2917355189,29.585317,31.4871595,32.40495,35.959639,37.5334235,40.509276,41.3099235,44.727267,44.850423,48.758826,50.467792,52.040633973,52.636245817,54.2820235652,58.3161224824,61.3921412661,67.5627046195,74.8275846396,76.440723621,81.4405724087,80.5625481589,85.6087616486,90.1709515135,91.1763410936,96.1358474373,107.081460641,111.516107404,122.367463628,128.564945921,129.331697301,124.758288025,133.209116064,136.703755072,146.090922617,151.772062703,0.041733969003,0.0502493828535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,1.636,1.757,1.683,1.795,2.178,2.641,3.034,3.279,3.604,3.907,3.902,4.444,4.529,4.711,4.671,4.487,4.277,4.14,4.225,4.704,5.04,4.893,5.105,4.89,5.252,5.781,6.129,6.019,6.33,6.511,7.109,7.567,7.293,7.487,7.648,7.3,7.737,7.672,8.461,8.537,9.001,8.45749188,8.00846352,8.55717048,8.35591464,9.07351451269,8.52596443398,8.13971718232,7.63895554533,-0.0589495897293,0.00252914009616
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.8754350824,13.1948200748,13.0318372255,12.8688543681,13.5207857815,13.789513459,13.1948200748,10.262098874,7.57482208268,7.08587352592,7.00438209966,5.13104943616,4.88657515737,4.56060945314,4.88657515737,4.72359230566,6.77542999792,6.79483271842,6.96751693079,7.49402716764,7.74081449856,8.18307694308,7.20488689544,8.24302264458,7.03840725702,6.69070589871,7.32754752922,7.69007241699,7.78479639912,0.0150911705568,0.00257742567919
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.07153172715,8.22578335223,9.28517189691,10.7510474299,11.3214874105,12.0626713354,12.6243800942,14.6606956078,13.6022772061,11.8909572562,10.7510474299,11.3214874105,12.9503457927,13.1133286502,13.3578029241,14.1717470518,14.0902556272,14.4977127585,14.2532384765,16.1265711408,16.5340282721,17.10407244,16.961538503,17.3158371464,14.5115837459,17.7418099981,16.4687783208,16.4839895357,16.4905104197,0.00313639873639,0.00545975286514
Belgium,0.0631986242476,0.114058469475,0.434694754944,1.05752364574,2.17841788478,3.41803525365,4.71322012038,5.94269131556,7.142927773,8.37117368874,8.27125967326,8.73701633706,8.59582975064,8.52317282889,9.31257523646,8.91070507309,8.21844368014,6.85178417885,7.12027085125,7.34742046432,7.38297506449,6.62897678418,7.31010318143,7.21461736887,8.01756233878,8.1690455718,8.73450128977,9.0497205503,9.40662080825,9.67259243336,10.6109415305,11.8156706793,11.2647033534,12.4742691316,13.3348882201,13.3685511608,13.179772141,13.3779449699,14.4019991402,14.5699914015,14.7278159931,15.0026225279,14.9285253654,14.838155632,15.1117583835,16.959866724,14.94342273,15.2342847152,15.138048177,-0.00359468371607,0.00501197390258
