Oil: Proved reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand million barrels,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,63.3380088806,67.9321365356,69.0331497192,72.450378418,76.0767440796,79.005607605,82.1943511963,82.2863311768,83.3389892578,86.3538894653,87.5905075073,88.3007965088,89.7418212891,90.9580001831,92.1230773926,93.0275497437,0.00981808640063,0.0551146678626
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.546000003815,0.546000003815,0.546000003815,0.546000003815,0.546000003815,0.546000003815,0.546000003815,0.546000003815,0.600000023842,0.600000023842,0.600000023842,0.600000023842,0.600000023842,0.600000023842,0.600000023842,0.600000023842,-,0.00035547322477
United Kingdom,8.4375,7.875,7.46250009537,6.9375,6.0,5.625,5.32499980927,5.17500019073,4.27500009537,3.82500004768,4.01249980927,4.16249990463,4.57499980927,4.53749990463,4.3125,4.53749990463,4.98750019073,5.17500019073,5.13749980927,4.98750019073,4.72499990463,4.53749990463,4.46250009537,4.28249979019,3.99749994278,3.86999988556,3.59249997139,3.3900001049,3.05999994278,2.83500003815,2.80500006676,3.09750008583,3.03749990463,3.03749990463,-,0.00179958308581
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,0.59399998188,-,0.00035191845382
Other Europe & Eurasia,69.2702696068,65.183703821,65.3481535314,65.2515172412,65.2029188081,65.2495432346,63.2827667807,61.1630639764,61.2402275827,60.5408371257,60.3848424274,60.9113720868,61.3164047411,61.8318453008,62.30638424,62.8435041399,63.5471411566,68.0311643886,2.14646392781,2.29086860607,2.32118995418,2.22458791523,2.22519155894,2.33759073238,2.23928307951,2.19483984704,2.15980814258,2.14415580034,2.12363556062,2.29889272398,2.19734717405,2.21061251755,2.10732751037,2.19075951423,0.0395913794637,0.00129792722873
Total Europe & Eurasia,83.5784742279,78.7686265222,78.3298625051,79.4106020083,78.7615315422,79.3015764504,77.5090347145,75.343906674,76.2459343103,75.379922347,75.903626116,76.8173780654,78.2708068303,78.2907360369,78.8354040131,80.875255117,82.815861843,87.9694859791,92.8941996964,96.8906387944,98.3020782017,101.852477787,109.339849617,115.525558122,117.889400328,117.717337084,117.291560812,140.721870154,140.728604496,141.191272544,142.623295168,144.127660033,147.383621652,147.773057853,0.00264233024791,0.0875489413738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,58.2960014343,57.0200004578,56.1479988098,55.2569999695,58.8740005493,59.0,92.8600006104,92.8600006104,92.8600006104,92.8600006104,92.8499984741,92.8600006104,92.8600006104,92.8600006104,94.3000030518,93.6999969482,92.5999984741,92.5999984741,93.6999969482,93.0999984741,99.5299987793,99.0800018311,130.690002441,133.25,132.740005493,137.490005493,138.399993896,138.220001221,137.619995117,137.009994507,151.169998169,154.580001831,157.0,157.0,-,0.0930154919624
Iraq,30.0,32.0,59.0,65.0,65.0,65.0,72.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112.0,112.5,112.5,112.5,112.5,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,143.100006104,150.0,150.0,-,0.0888683050871
Kuwait,67.9300003052,67.7300033569,67.1500015259,67.0,92.7099990845,92.4639968872,94.5220031738,94.5250015259,94.5250015259,97.125,97.0250015259,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,99.0,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,-,0.0601342171431
Oman,2.48399996758,2.94199991226,3.40000009537,3.5,3.90000009537,4.06699991226,4.03700017929,4.10519981384,4.14200019836,4.29090023041,4.35300016403,4.34999990463,4.73999977112,5.0,5.09999990463,5.19999980927,5.30000019073,5.39900016785,5.40000009537,5.74399995804,5.84800004959,5.90000009537,5.70599985123,5.5720000267,5.5720000267,5.5720000267,5.5720000267,5.5720000267,5.5720000267,5.5,5.5,5.5,5.5,5.5,-,0.00325850443915
Qatar,3.58500003815,3.45000004768,3.42499995232,3.32999992371,4.5,4.5,4.5,4.5,4.5,4.5,2.99300003052,2.99300003052,3.1210000515,3.1210000515,3.5,3.70000004768,3.70000004768,12.5000002384,13.4854998589,13.1027998924,16.8666996956,16.8361001015,27.5956001282,27.0157008171,26.8648197651,27.9101991653,27.4361991882,27.3230004311,26.8330001831,25.9069991112,24.6840002537,23.8999998569,25.2289993763,25.063000679,-0.00657967804,0.0148487091064
Saudi Arabia,168.029998779,167.850006104,165.48399353,168.848007202,171.710006714,171.490005493,169.744003296,169.585006714,254.988998413,260.049987793,260.342010498,260.936004639,261.20300293,261.355010986,261.37399292,261.450012207,261.444000244,261.540985107,261.541992188,262.783996582,262.765991211,262.696990967,262.790008545,262.730010986,264.309997559,264.210998535,264.25100708,264.209014893,264.062988281,264.589996338,264.515991211,265.404998779,265.850006104,265.850006104,-,0.15750426054
Syria,1.45202803612,1.88999998569,1.75,1.46000003815,1.39750003815,1.53999996185,1.62000000477,1.72000002861,1.79999995232,2.0,1.87999999523,3.0,3.0,2.95000004768,2.65000009537,2.5583999157,2.45000004768,2.34500002861,2.29999995232,2.29999995232,2.32500004768,2.32500004768,2.27999997139,2.39499998093,3.15899991989,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-,0.0014811384026
United Arab Emirates,30.4099998474,32.1759986877,32.3540000916,32.3400001526,32.4900016785,32.9900016785,97.2030029297,98.1050033569,98.1050033569,98.1050033569,98.0999984741,98.0999984741,98.0999984741,98.0999984741,98.0999984741,98.0999984741,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,97.8000030518,-,0.0579421333969
Yemen,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.04999995232,2.0,2.0,2.0,2.00999999046,2.00999999046,1.98599994183,1.98599994183,1.98599994183,1.98599994183,1.82899999619,1.85000002384,1.85000002384,2.40000009537,2.40000009537,2.85500001907,2.84999990463,3.0,2.92070007324,2.77999997139,2.67000007629,2.67000007629,3.0,3.0,3.0,3.0,3.0,-,0.00177736603655
Other Middle East,0.224058998632,0.207146993605,0.191021996958,0.185800002364,0.173749992973,0.180710007146,0.141700002598,0.126700002002,0.113619003445,0.098483002861,0.0714000002481,0.0712890003342,0.0594180016778,0.0593510016333,0.051894999342,0.113906998246,0.215289993736,0.21432999341,0.164229996561,0.152910002158,0.152870002203,0.12928999844,0.129259998444,0.129339998472,0.127559998655,0.127559998655,0.127519998583,0.127499998547,0.127499998547,0.30903999228,0.276939989068,0.651799999061,0.279299997608,0.258199998061,-0.0755460038781,0.00015297197388
Total Middle East,362.411087407,365.265155545,388.902016002,396.920807288,430.755258153,431.73171394,537.127710196,566.576912004,653.03462306,661.029374994,659.614409162,660.820292649,661.593419829,661.931361113,663.561889387,663.308314342,673.995291992,683.228317058,685.241722114,685.833707937,696.688562932,698.667386188,741.345874006,745.742054766,750.073385814,755.531466344,755.866723213,754.921519698,753.685486735,753.116033,765.946932674,797.936809622,808.658308529,808.471209832,-0.00023136928212,0.478983104229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,8.19999980927,8.07999992371,9.43999958038,9.22000026703,9.0,8.81999969482,8.80000019073,8.5640001297,9.19999980927,9.23600006104,9.19999980927,9.19999980927,9.19999980927,9.19999980927,9.97900009155,9.97900009155,10.8000001907,11.1999998093,11.3140001297,11.3140001297,11.3140001297,11.3140001297,11.3140001297,11.8000001907,11.8000001907,12.2700004578,12.2700004578,12.1999998093,12.1999998093,12.1999998093,12.1999998093,12.1999998093,12.1999998093,12.1999998093,-,0.00722795492038
Angola,1.375,1.10800004005,1.45700001717,1.71500003338,2.14700007439,2.01799988747,1.39999997616,2.0,2.0,2.07399988174,1.62450003624,1.44959998131,1.33399999142,1.90100002289,2.9646999836,3.12520003319,3.69499993324,3.90000009537,4.03000020981,5.05000019073,5.97200012207,6.5,8.89999961853,8.80099964142,9.03499984741,9.03499984741,9.03499984741,9.03499984741,9.03999996185,9.5,9.5,9.05500030518,12.6669998169,12.6669998169,-,0.00750463176519
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899999976158,0.899999976158,0.899999976158,0.899999976158,0.899999976158,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-,0.00088868301827
Rep. of Congo (Brazzaville),0.705439984798,0.733044981956,0.754424989223,0.73834502697,0.798430979252,0.755999982357,0.719699978828,0.694999992847,0.75,0.709999978542,0.754499971867,0.698300004005,0.725000023842,0.650499999523,1.41270005703,1.34969997406,1.60000002384,1.61500000954,1.70000004768,1.70000004768,1.64999997616,1.57000005245,1.50591003895,1.50591003895,1.50591003895,1.50590002537,1.60000002384,1.60000002384,1.60000002384,1.60000002384,1.60000002384,1.60000002384,1.60000002384,1.60000002384,-,0.00094792857999
Egypt,2.91645002365,3.53029990196,3.69962501526,3.95859909058,4.02559995651,3.79999995232,4.5,4.68499994278,4.27050018311,4.30000019073,3.45900011063,3.5353000164,3.43499994278,3.42499995232,3.94099998474,3.80399990082,3.84349989891,3.71900010109,3.75670003891,3.76699995995,3.62689995766,3.66799998283,3.52500009537,3.52500009537,3.61999988556,3.72000002861,3.72000002861,4.07000017166,4.19999980927,4.40000009537,4.5,4.30000019073,4.19999980927,3.90000009537,-0.0714285075665,0.00231057591736
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.555000007153,0.555000007153,0.555000007153,0.555000007153,0.555000007153,0.800000011921,1.11000001431,1.09500002861,1.27999997139,1.76499998569,1.80499994755,1.75499999523,1.70500004292,1.70500004292,1.70500004292,1.70500004292,1.70500004292,1.70500004292,1.70500004292,-,0.00101013644598
Gabon,0.47092500329,0.463488012552,0.481784999371,0.547299981117,0.623000025749,0.657000005245,0.646000027657,0.959999978542,0.930000007153,0.958599984646,0.860000014305,0.875999987125,0.768400013447,0.662000000477,1.39999997616,1.47000002861,2.79999995232,2.67230010033,2.56500005722,2.56500005722,2.42000007629,2.40000009537,2.36999988556,2.28500008583,2.19000005722,2.14599990845,2.15000009537,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-,0.00118491065223
Libya,20.3299999237,22.6000003815,22.186000824,21.7840003967,21.4249992371,21.2999992371,22.7999992371,22.7999992371,22.7999992371,22.7999992371,22.7999992371,22.7999992371,22.7999992371,22.7999992371,22.7999992371,29.5,29.5,29.5,29.5,29.5,36.0,36.0,36.0,39.1259994507,39.1259994507,41.4640007019,41.4640007019,43.6629981995,44.2709999084,46.422000885,47.0970001221,48.013999939,48.4720001221,48.4720001221,-,0.028717495501
Nigeria,16.7000007629,16.5,16.75,16.5499992371,16.6499996185,16.6000003815,16.0659999847,15.9799995422,16.0,16.0,17.1000003815,20.0,20.9909992218,20.9909992218,20.9909992218,20.827999115,20.827999115,20.827999115,22.5,29.0,29.0,31.5060005188,34.3489990234,35.2550010681,35.8759994507,36.2200012207,37.2000007629,37.2000007629,37.2000007629,37.2000007629,37.2000007629,37.2000007629,37.138999939,37.1399993896,2.691108239e-05,0.0220037903637
South Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,-,0.0020735936705
Sudan,0.0,0.20000000298,0.40000000596,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.300000011921,0.26210001111,0.26210001111,0.26210001111,0.26210001111,0.563000023365,0.563000023365,0.563000023365,0.563000023365,0.563000023365,5.0,5.0,5.0,5.0,5.0,5.0,1.5,1.5,-,0.00088868301827
Tunisia,2.18059301376,2.49140000343,2.45169997215,2.51543998718,1.81500005722,1.77999997139,1.75259995461,1.72500002384,1.78999996185,1.79999995232,1.73860001564,0.400499999523,0.467500001192,0.369100004435,0.337999999523,0.377000004053,0.340000003576,0.313899993896,0.289999991655,0.307999998331,0.425199985504,0.526000022888,0.500999987125,0.649900019169,0.680700004101,0.560000002384,0.596000015736,0.601000010967,0.577000021935,0.425000011921,0.425000011921,0.425000011921,0.425000011921,0.425000011921,-,0.00025179353543
Other Africa,0.55811001001,0.575539004873,0.650245002587,0.710073994662,0.98255002356,1.0063833431,0.981756649737,0.954580006073,0.956253333599,0.907926671556,0.888709988543,0.811882332066,0.758180681831,0.634473016351,0.581646012241,0.665228014503,0.670738009427,0.693486002663,0.699486014822,0.698423997772,0.678320016868,0.614638004608,0.569438002811,0.554438002215,0.563138015375,0.542897009214,0.651426003122,0.656374015012,0.656290015013,0.619190012843,2.26412203941,2.18412203747,3.68411203747,3.68411203747,-,0.00218267180026
Total Africa,53.4365185314,56.281772253,58.2707804061,58.0387580266,57.7665799842,57.0373824672,57.9660560114,58.663578865,58.996752544,59.0865259696,58.7253095769,60.3715813906,61.0790789465,61.233071288,65.0080445875,71.9531271808,74.9322371461,75.2587852454,77.1722865081,84.7195243997,93.0485202634,96.6716388205,101.59234681,106.245248563,107.624746926,111.331799173,116.941427932,119.230372883,119.949290355,122.571191644,124.991122812,125.183123123,130.592111613,130.293111349,-0.00228957366198,0.0771928504109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2.12281116843,2.61844813824,2.93105185032,2.49076509476,2.55995303392,2.45931595564,2.87444353104,2.90589255095,3.18893408775,3.10087674856,3.15748500824,3.2266728878,3.22038310766,3.25812190771,3.81791514158,3.79904568195,3.81791520119,4.03805840015,4.77396643162,4.7425173521,4.94379127026,4.95637094975,4.57269239426,3.7494379282,3.88926041126,3.71834111214,3.51451969147,3.42895960808,4.23920035362,4.06139993668,3.83107978106,3.87294477224,3.92196750641,3.95749872923,0.00905953999609,0.00234464136884
Brunei,1.29400002956,1.5,1.44525003433,1.52699995041,1.47027003765,1.44299995899,1.47500002384,1.60000002384,1.20000004768,1.15170001984,1.12399995327,1.14999997616,1.12999999523,1.25,1.18799996376,1.12399995327,1.09000003338,1.05999994278,1.01999998093,1.29999995232,1.23000001907,1.15999996662,1.10000002384,1.04999995232,1.12030005455,1.10500001907,1.20000004768,1.07799994946,1.07799994946,1.10000002384,1.10000002384,1.10000002384,1.10000002384,1.10000002384,-,0.00065170088783
China,13.3526210785,13.2904624939,13.2588701248,14.8808526993,16.3645915985,17.0876960754,17.1612892151,17.4234828949,17.2836265564,16.0584907532,16.0197143555,15.513212204,15.193110466,16.4353256226,16.2579402924,16.3550624847,16.4444885254,17.0215053558,17.4228229523,15.1119003296,15.1902999878,15.4114999771,15.5087003708,15.4757003784,15.5306997299,15.5873003006,15.6145000458,15.4933996201,15.6055698395,15.8621196747,17.2987995148,17.8045692444,18.0837059021,18.0837059021,-,0.0107137877494
India,2.75695896149,3.48239994049,3.50469994545,3.61999988556,3.75999999046,3.76131033897,4.63500022888,4.415599823,4.46350002289,4.34539985657,5.56316423416,6.12559986115,5.90999984741,5.86000013351,5.80730009079,5.50977611542,5.48696041107,5.62543725967,5.39426612854,4.97220945358,5.28990030289,5.51346588135,5.57634162903,5.73115825653,5.56527233124,5.91888141632,5.69267988205,5.4592499733,5.79809999466,5.82287359238,5.83318996429,5.70352315903,5.71971273422,5.70977306366,-0.00173779192846,0.00338278547861
