Oil: Trade movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
West Africa,2475.0,1730.0,1500.0,1425.0,1670.0,1765.0,1980.0,1880.0,2022.0,2319.0,2248.0,2500.0,2679.0,2676.0,2674.99452055,2722.78082192,2916.0,3102.0,3094.0,2985.0,3293.0,3182.0,3134.0,3612.0,4047.77868852,4358.38630137,4703.67567969,4829.57104137,4587.21673929,4363.54323288,4601.45287671,4636.66813011,4557.19051021,4452.93451836,-0.022877251152,0.079984574405
Asia Pacific £,2099.0,2081.0,1952.0,1870.0,2220.0,2339.0,2301.0,2064.0,2006.0,2353.0,2182.0,2257.0,2414.0,3311.56438356,3360.66575342,3418.58630137,3861.41147541,3841.37260274,3496.49863014,3543.16986301,3735.56835841,3913.74246575,3847.78356164,3978.34520548,4188.9483644,4243.2630137,4311.68922556,6003.70749726,5391.91386373,5631.01865753,6226.17249315,6087.61693624,6298.6827124,6480.45951771,0.0288594954853,0.116403417642
Rest of World *,495.0,810.0,1030.0,925.0,950.0,1050.0,1220.0,1230.0,1242.0,1641.0,1938.0,3579.0,1842.0,805.65741294,839.126027397,990.435616438,780.0,690.0,556.0,791.0,940.0,1506.0,1551.0,1361.0,1630.76775956,1541.62465753,1359.01230808,1655.7507126,1363.45233671,1322.78254795,636.605260274,645.719013945,321.550416588,473.45232301,0.472404632638,0.00850425318426
Total World,32324.0,29033.0,25932.0,24696.0,25093.0,24488.0,26647.0,24923.0,28201.0,30590.0,31441.0,32338.0,33397.0,35727.2217965,36586.5643836,37252.8109589,39391.4114754,40890.3726027,41097.4986301,41616.169863,43370.5683584,44788.7424658,44612.7835616,46752.3452055,49289.6232278,51182.2657534,52561.3183256,55553.9880852,54626.332242,52332.9766027,53509.7196986,54159.6638538,54748.2702652,55672.4162313,0.0168799116679,1.0
,,,,,,,,,,,,,,,,,,,,,,44788.7424658,,,,,,,,,,,,,,
" # Prior to 1993, excludes Central Europe (Albania, Bulgaria, Czech Republic, Former Republic of Yugoslavia, Hungary, Poland, Romania, Slovakia).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @ Prior to 1993, includes Central Europe and excludes movements between Former Soviet Union and Central Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 £ Excludes Japan. Excludes trade between other Asia Pacific countries and Singapore prior to 1993 and India prior to 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n/a not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Annual changes and shares of total are calculated using thousand barrels daily figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
