Coal: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,n/a,n/a,n/a,n/a,130.8,137.5,142.1,143.1,138.4,131.4,130.0,126.54,111.87,104.62,83.36,76.83,72.64,69.77,58.38,74.87,79.14,73.73,84.91,86.8751,86.6173,96.2305,97.828591,111.0723,100.854051,106.568,111.383,115.6591,114.7125,-0.00114929222036,0.0150370690972
Poland,198.64,226.96,233.62,241.97,249.39,259.34,266.21,266.51,249.45,215.32,209.79,198.38,198.58,200.7,200.72,201.72,200.93,178.55,172.73,162.82,163.54,161.92,163.79,162.428,159.54,156.067,145.851,144.012,135.172,133.238,139.289,144.093,142.866,-0.0191163178533,0.0148272020742
Romania,36.93,37.86,44.52,44.28,46.58,47.52,51.52,58.75,61.34,38.19,32.42,38.37,39.75,40.55,41.12,41.87,33.81,26.23,22.88,29.28,33.29,30.41,33.06,31.792,31.185,34.923,35.768,35.852,33.95,31.123,35.477,33.902,24.723,-0.268753051758,0.00119429198094
Russian Federation,n/a,n/a,n/a,n/a,395.2,407.9,414.7,425.5,409.8,395.3,353.326,337.264,305.914,272.046,262.812,256.477,245.031,231.919,249.521,258.323,269.56,255.754,276.664,281.728,298.3,309.9,313.5,328.6,301.3,321.6,335.9,356.1,347.1,-0.0187369491905,0.0425416789949
Spain,35.56,39.55,39.95,39.95,39.84,38.32,34.59,31.85,36.46,35.97,33.935,33.33,31.75,29.49,28.47,27.35,26.46,26.07,24.26,23.48,22.68,22.03,20.54,20.5,19.354,18.399,17.18,10.203,9.448,8.434,6.583,6.336,4.427,-0.325129598379,0.00041704185423
Turkey,21.02,21.83,23.81,29.97,40.0,46.42,46.99,39.22,52.21,47.428,46.108,51.431,48.56,54.371,55.073,56.363,59.929,67.383,67.038,63.268,62.097,53.984,48.563,46.377,58.34,64.255,75.364,79.402,79.499,73.399,76.116,72.0363874626,61.6650821546,-0.135142922401,0.00341008743271
Ukraine,n/a,n/a,n/a,n/a,189.0,193.1,191.9,191.7,180.2,164.9,135.623,133.597,115.713,94.428,83.803,70.51,76.947,77.176,81.659,81.0,83.9,82.5,80.2,81.3,78.8,80.2,76.8,79.5,73.845,76.818,84.601,88.2,88.2,0.00273972610012,0.0118200397119
United Kingdom,127.47,124.71,119.25,51.18,94.11,108.1,104.53,104.07,99.82,92.76,94.2,84.49,68.2,48.97,53.04,50.2,48.5,41.178,37.077,31.1977826667,31.930256,29.989155,28.278729,25.096057,20.498293,18.517162,17.007327,18.0532425714,17.8736338209,18.41663,18.6269782107,17.0466670605,12.8394119583,-0.244744539261,0.00201186886989
Other Europe & Eurasia,781.339784381,795.732341331,794.079295252,793.547422029,120.958146124,122.452801601,121.411903043,119.707130965,120.582490572,124.194056073,107.021602051,101.173602051,88.610801794,74.1251020507,74.6333020507,73.1741,82.9875,86.2527,69.0745,74.5904,74.1414,77.6579,81.6812,79.534301,78.527468,80.999725,86.5601543942,90.2967943377,88.0112790262,88.4881576237,95.4794168237,91.4420606237,93.8505727222,0.0425047539175,0.00549470167607
Total Europe & Eurasia,1916.71978438,1972.63234133,1964.17929525,1938.19742203,2060.02814612,2111.4428016,2119.47390304,2116.69013096,2065.30249057,1889.64605607,1695.40860205,1611.48060205,1481.26680179,1364.61910205,1312.90330205,1278.1871,1255.4865,1190.6137,1150.1585,1173.38818267,1198.463656,1171.031055,1197.634929,1194.260458,1200.258061,1220.439387,1235.32907239,1253.84833691,1181.20096385,1190.85678762,1255.41639503,1281.63121515,1221.55682889,-0.037520956248,0.115975916386
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Middle East,0.903,1.015,1.015,1.038,1.106,1.061,1.083,1.151,0.858,0.835,0.858,0.677,1.134,1.112,1.084,1.02,0.976,1.23,1.04,1.148,0.976,1.032,1.143,1.224,1.556,1.651,1.665,1.59,1.152,1.025,1.036,1.176,1.176,0.00273972610012,0.00018633333093
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
