Cartogram use,Button
Cartogram title,Consumption
Cartogram definition,"CO2 footprint (from fossil fuel burning and cement production) of all goods and services consumed, including imports and excluding exports (million tonnes CO2 equivalent)"
Cartogram source,"Glen Peters et al., Nature Climate Change 2, 2Ð4 (2012) doi:10.1038/nclimate1332"
