Cartogram use,Button
Cartogram title,Historical
Cartogram definition,"Cumulative CO2 emissions from energy, 1850Ð2007 (million tonnes)"
Cartogram source,"WRI, 2011 (Climate Analysis Indicators Tool v8)"
