"CO2 emissions per capita (tonnes, 2008)",color,key
..0.25,#FFF5EB,< 0.25
0.25..0.5,#FEE6CE,0.25–0.5
0.5..1,#FDD0A2,0.5–1
1..3,#FDAE6B,1–3
3..6,#FD8D3C,3–6
6..10,#F16913,6–10
10..15,#D94801,10–15
15..20,#A63603,15–20
20..,#7F2704,> 20
