Value,color,key
..-0.25,#66BD63,Down >0.25%
-0.25..-0.1,#A6D96A,Down 0.25–0.1%
-0.1..0,#D9EF8B,Down <0.1%
0..0.5,#FFFFBF,Up <0.5%
0.5..1,#FEE08B,Up 0.5–1%
1..1.5,#FDAE61,Up 1–1.5%
1.5..2,#F46D43,Up 1.5–2%
2..3,#D73027,Up 2–3%
3..,#A50026,Up >3%
