"GDP per capita, PPP (current international $), 2010",color,key
..500,#F7FCFD,< $500
500..1000,#E0ECF4,$500–1000
1000..2500,#BFD3E6,$1000–2500
2500..5000,#9EBCDA,$2500–5000
5000..10000,#8C96C6,$5000–10000
10000..20000,#8C6BB1,$10000–20000
20000..35000,#88419D,$20000–35000
35000..50000,#810F7C,$35000–50000
50000..,#4D004B,> $50000
