Country Name,Value
Afghanistan,250.31224784657536
Albania,-38.219101943192946
Algeria,81.41430656797584
Andorra,nan
Angola,606.1710894296358
Anguilla,nan
Antigua and Barbuda,70.69462299390241
Argentina,74.92947346434384
Armenia,-10.634654467645642
Aruba,26.06822853027888
Australia,18.77200979899434
Austria,3.291955596618368
Azerbaijan,-17.222842588272215
Bahamas,26.29971907706765
Bahrain,109.84929620024685
Bangladesh,318.9426976676109
Barbados,38.0918691880546
Belarus,-35.148451724411046
Belgium,-8.65917841480729
Belize,35.264730657647036
Benin,661.2824233179487
Bermuda,-20.262722124539877
Bhutan,426.2175532742856
Bosnia and Herzegovina,418.63106118735436
Botswana,136.60410978787883
Brazil,130.80805488027525
British Virgin Islands,146.10037952461536
Brunei Darussalam,64.37902784922902
Bulgaria,-45.17939410193118
Burkina Faso,200.13076003625
Burundi,6.426640756144564
Cambodia,987.6740421951218
Canada,11.865182102381521
Cape Verde,322.92766586666664
Cayman Islands,133.2826514246377
Central African Republic,39.52252894574073
Chad,234.85406947
Chile,161.8696782085705
China,305.77709486015226
Colombia,54.129589033000784
Comoros,89.3520035695238
Congo,97.29884085154319
Cook Islands,269.5697350583333
Costa Rica,167.2672724975186
Côte d'Ivoire,6.015581561669836
Croatia,-17.716794150797465
Cuba,18.213405643422774
Cyprus,64.73761036327816
Czech Republic,-38.63117410749851
North Korea,-68.73202554615303
Democratic Republic of the Congo,-25.925633699369378
Denmark,-19.188385604452318
Djibouti,41.122557947706426
Dominica,131.19977060812496
Dominican Republic,128.54907698505747
Ecuador,116.37892316205618
Egypt,182.73218171849348
El Salvador,140.55525308123254
Equatorial Guinea,4034.5335083636364
Eritrea,nan
Estonia,-25.713750951699264
Ethiopia,124.64488483718105
Faeroe Islands,13.685416168235287
Falkland Islands (Malvinas),61.77932828999999
Micronesia (Federated States of),nan
Fiji,82.57675161524662
Finland,-2.4560903252781596
France,-13.737145723147338
French Guiana,-15.156076878378377
French Polynesia,63.52442989418605
Gabon,-43.80336772013626
Gambia,159.69076525384617
Georgia,-63.724239766722725
Germany,-25.0993359630558
Ghana,148.5234705009328
Gibraltar,378.9482739038462
Greece,1.8599137858007264
Greenland,13.791067753289488
Grenada,136.61526073066668
Guadeloupe,34.25036169291784
Guatemala,121.49662003821197
Guinea,22.44555274687501
Guinea-Bissau,-1.4243002013043626
Guyana,49.163734856591624
Haiti,113.24093165719557
Honduras,211.80481775813297
Hong Kong,41.50547539307967
Hungary,-34.31079051141659
Iceland,-1.1643334313075626
India,248.7603463126985
Indonesia,230.3904926226494
Iraq,133.63532125872172
Ireland,17.05712750029189
Iran,189.7479648488112
Israel,113.46611968726079
Italy,-15.470814993018179
Jamaica,-9.901332682780861
Japan,13.91973509163864
Jordan,116.44790268346843
Kazakhstan,7.017010437922111
Kenya,128.52379058753147
Kiribati,230.66765768333332
Kuwait,108.39531283415558
Kyrgyzstan,-45.72415098683754
Laos,765.0444618531251
Latvia,-50.40664795516898
Lebanon,140.58514823297062
Lesotho,nan
Liberia,76.00497282045455
Libya,62.74755981655036
Lithuania,-46.97954076906257
Luxembourg,6.909524864736061
Macao,16.0550458067376
Macedonia (Republic of),-31.214161813214847
Madagascar,110.74621151486986
Malawi,107.24917771976044
Malaysia,305.32840911164385
Maldives,714.1649050523808
Mali,54.6880212226087
Malta,18.405043983838397
Marshall Islands,151.3672691892308
Martinique,10.260888786702127
Mauritania,-13.153485131361753
Mauritius,179.6830234862155
Mexico,48.27965110447621
Mongolia,24.971890672873307
Montenegro,-8.067849600328481
Montserrat,133.28265142444445
Morocco,122.01209860280375
Mozambique,215.33883063186812
Myanmar,142.84013792281303
Namibia,12674.477402085713
Nauru,-37.575736306046515
Nepal,573.1454714913295
Netherlands Antilles,-23.969320433038344
Netherlands,0.9287110744246707
New Caledonia,170.10083385327314
New Zealand,36.94901783496047
Nicaragua,80.10738141726621
Niger,72.97676098502201
Nigeria,83.44325546630029
Niue,133.412464247
Norway,84.78197671927975
Occupied Palestinian Territory,nan
Oman,419.9415829887278
Pakistan,140.06240673708413
Palau,nan
Panama,239.6970101019867
Papua New Guinea,70.65615111969178
Paraguay,120.64077124635335
Peru,206.53984729256888
Philippines,123.64496768460795
Bolivia,233.85883616988679
Poland,-15.010655488602275
Portugal,23.165037213869823
